,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,85,0,1681255052,0.0,15,0,0,,TNOTED-23APR12-B3.49,between,3.5,3.48,,3.48 to 3.5,finalized,2023-04-11 23:17:32,2023-04-11
1,100,95,0,1681255062,0.0,5,0,0,,TNOTED-23APR12-T3.30,less,3.3,,,3.29 or below,finalized,2023-04-11 23:17:42,2023-04-11
2,100,95,0,1681255070,0.0,5,0,0,,TNOTED-23APR12-T3.56,greater,,3.56,,3.57 or above,finalized,2023-04-11 23:17:50,2023-04-11
3,99,0,0,1681260364,0.0,100,1,0,,TNOTED-23APR12-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-04-12 00:46:04,2023-04-12
4,99,0,0,1681260379,0.0,100,1,0,,TNOTED-23APR12-B3.46,between,3.47,3.45,,3.45 to 3.47,finalized,2023-04-12 00:46:19,2023-04-12
5,99,0,0,1681260397,0.0,100,1,0,,TNOTED-23APR12-B3.40,between,3.41,3.39,,3.39 to 3.41,finalized,2023-04-12 00:46:37,2023-04-12
6,87,0,0,1681303030,0.0,100,13,0,,TNOTED-23APR12-B3.31,between,3.32,3.3,,3.3 to 3.32,finalized,2023-04-12 12:37:10,2023-04-12
7,87,82,0,1681303030,0.0,18,13,0,,TNOTED-23APR12-B3.31,between,3.32,3.3,,3.3 to 3.32,finalized,2023-04-12 12:37:10,2023-04-12
8,84,0,12,1681303030,12.0,100,16,5,,TNOTED-23APR12-T3.30,less,3.3,,,3.29 or below,finalized,2023-04-12 12:37:10,2023-04-12
9,83,0,12,1681303030,0.0,100,17,5,,TNOTED-23APR12-T3.30,less,3.3,,,3.29 or below,finalized,2023-04-12 12:37:10,2023-04-12
10,81,0,12,1681303030,0.0,100,19,5,,TNOTED-23APR12-T3.30,less,3.3,,,3.29 or below,finalized,2023-04-12 12:37:10,2023-04-12
11,81,75,12,1681303030,0.0,25,19,5,,TNOTED-23APR12-T3.30,less,3.3,,,3.29 or below,finalized,2023-04-12 12:37:10,2023-04-12
12,81,77,12,1681303030,0.0,23,19,5,,TNOTED-23APR12-T3.30,less,3.3,,,3.29 or below,finalized,2023-04-12 12:37:10,2023-04-12
13,85,0,0,1681303031,0.0,100,15,0,,TNOTED-23APR12-B3.34,between,3.35,3.33,,3.33 to 3.35,finalized,2023-04-12 12:37:11,2023-04-12
14,82,0,0,1681303031,0.0,100,18,0,,TNOTED-23APR12-B3.34,between,3.35,3.33,,3.33 to 3.35,finalized,2023-04-12 12:37:11,2023-04-12
15,82,76,0,1681303031,0.0,24,18,0,,TNOTED-23APR12-B3.34,between,3.35,3.33,,3.33 to 3.35,finalized,2023-04-12 12:37:11,2023-04-12
16,82,78,0,1681303031,0.0,22,18,0,,TNOTED-23APR12-B3.34,between,3.35,3.33,,3.33 to 3.35,finalized,2023-04-12 12:37:11,2023-04-12
17,100,1,0,1681303031,0.0,99,0,0,,TNOTED-23APR12-B3.37,between,3.38,3.36,,3.36 to 3.38,finalized,2023-04-12 12:37:11,2023-04-12
18,86,1,0,1681303031,0.0,99,14,0,,TNOTED-23APR12-B3.37,between,3.38,3.36,,3.36 to 3.38,finalized,2023-04-12 12:37:11,2023-04-12
19,84,1,0,1681303031,0.0,99,16,0,,TNOTED-23APR12-B3.37,between,3.38,3.36,,3.36 to 3.38,finalized,2023-04-12 12:37:11,2023-04-12
20,84,78,0,1681303031,0.0,22,16,0,,TNOTED-23APR12-B3.37,between,3.38,3.36,,3.36 to 3.38,finalized,2023-04-12 12:37:11,2023-04-12
21,84,80,0,1681303031,0.0,20,16,0,,TNOTED-23APR12-B3.37,between,3.38,3.36,,3.36 to 3.38,finalized,2023-04-12 12:37:11,2023-04-12
22,99,1,0,1681303031,0.0,99,1,0,,TNOTED-23APR12-B3.40,between,3.41,3.39,,3.39 to 3.41,finalized,2023-04-12 12:37:11,2023-04-12
23,88,1,0,1681303031,0.0,99,12,0,,TNOTED-23APR12-B3.40,between,3.41,3.39,,3.39 to 3.41,finalized,2023-04-12 12:37:11,2023-04-12
24,88,0,0,1681303031,0.0,100,12,0,,TNOTED-23APR12-B3.40,between,3.41,3.39,,3.39 to 3.41,finalized,2023-04-12 12:37:11,2023-04-12
25,88,1,0,1681303031,0.0,99,12,0,,TNOTED-23APR12-B3.40,between,3.41,3.39,,3.39 to 3.41,finalized,2023-04-12 12:37:11,2023-04-12
26,88,83,0,1681303031,0.0,17,12,0,,TNOTED-23APR12-B3.40,between,3.41,3.39,,3.39 to 3.41,finalized,2023-04-12 12:37:11,2023-04-12
27,88,85,0,1681303031,0.0,15,12,0,,TNOTED-23APR12-B3.40,between,3.41,3.39,,3.39 to 3.41,finalized,2023-04-12 12:37:11,2023-04-12
28,99,1,0,1681303031,0.0,99,1,0,,TNOTED-23APR12-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-04-12 12:37:11,2023-04-12
29,99,0,0,1681303031,0.0,100,1,0,,TNOTED-23APR12-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-04-12 12:37:11,2023-04-12
30,99,2,0,1681303031,0.0,98,1,0,,TNOTED-23APR12-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-04-12 12:37:11,2023-04-12
31,94,2,0,1681303031,0.0,98,6,0,,TNOTED-23APR12-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-04-12 12:37:11,2023-04-12
32,94,89,0,1681303031,0.0,11,6,0,,TNOTED-23APR12-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-04-12 12:37:11,2023-04-12
33,94,90,0,1681303031,0.0,10,6,0,,TNOTED-23APR12-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-04-12 12:37:11,2023-04-12
34,94,91,0,1681303031,0.0,9,6,0,,TNOTED-23APR12-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-04-12 12:37:11,2023-04-12
35,99,1,0,1681303031,0.0,99,1,0,,TNOTED-23APR12-B3.46,between,3.47,3.45,,3.45 to 3.47,finalized,2023-04-12 12:37:11,2023-04-12
36,99,0,0,1681303031,0.0,100,1,0,,TNOTED-23APR12-B3.46,between,3.47,3.45,,3.45 to 3.47,finalized,2023-04-12 12:37:11,2023-04-12
37,99,2,0,1681303031,0.0,98,1,0,,TNOTED-23APR12-B3.46,between,3.47,3.45,,3.45 to 3.47,finalized,2023-04-12 12:37:11,2023-04-12
38,99,0,0,1681303031,0.0,100,1,0,,TNOTED-23APR12-B3.46,between,3.47,3.45,,3.45 to 3.47,finalized,2023-04-12 12:37:11,2023-04-12
39,99,94,0,1681303031,0.0,6,1,0,,TNOTED-23APR12-B3.46,between,3.47,3.45,,3.45 to 3.47,finalized,2023-04-12 12:37:11,2023-04-12
40,99,95,0,1681303031,0.0,5,1,0,,TNOTED-23APR12-B3.46,between,3.47,3.45,,3.45 to 3.47,finalized,2023-04-12 12:37:11,2023-04-12
41,99,96,0,1681303031,0.0,4,1,0,,TNOTED-23APR12-B3.46,between,3.47,3.45,,3.45 to 3.47,finalized,2023-04-12 12:37:11,2023-04-12
42,100,1,0,1681303031,0.0,99,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
43,100,0,0,1681303031,0.0,100,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
44,100,2,0,1681303031,0.0,98,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
45,100,0,0,1681303031,0.0,100,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
46,100,3,0,1681303031,0.0,97,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
47,100,0,0,1681303031,0.0,100,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
48,100,4,0,1681303031,0.0,96,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
49,100,0,0,1681303031,0.0,100,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
50,100,2,0,1681303031,0.0,98,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
51,100,0,0,1681303031,0.0,100,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
52,100,1,0,1681303031,0.0,99,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
53,100,0,0,1681303031,0.0,100,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
54,100,3,0,1681303031,0.0,97,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
55,100,0,0,1681303031,0.0,100,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
56,100,1,0,1681303031,0.0,99,0,0,,TNOTED-23APR12-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-04-12 12:37:11,2023-04-12
57,100,1,0,1681303031,0.0,99,0,0,,TNOTED-23APR12-B3.55,between,3.56,3.54,,3.54 to 3.56,finalized,2023-04-12 12:37:11,2023-04-12
58,100,0,0,1681303031,0.0,100,0,0,,TNOTED-23APR12-B3.55,between,3.56,3.54,,3.54 to 3.56,finalized,2023-04-12 12:37:11,2023-04-12
59,100,2,0,1681303031,0.0,98,0,0,,TNOTED-23APR12-B3.55,between,3.56,3.54,,3.54 to 3.56,finalized,2023-04-12 12:37:11,2023-04-12
60,100,0,0,1681303031,0.0,100,0,0,,TNOTED-23APR12-B3.55,between,3.56,3.54,,3.54 to 3.56,finalized,2023-04-12 12:37:11,2023-04-12
61,100,3,0,1681303031,0.0,97,0,0,,TNOTED-23APR12-B3.55,between,3.56,3.54,,3.54 to 3.56,finalized,2023-04-12 12:37:11,2023-04-12
62,100,1,0,1681303031,0.0,99,0,0,,TNOTED-23APR12-B3.55,between,3.56,3.54,,3.54 to 3.56,finalized,2023-04-12 12:37:11,2023-04-12
63,100,0,0,1681303031,0.0,100,0,0,,TNOTED-23APR12-B3.55,between,3.56,3.54,,3.54 to 3.56,finalized,2023-04-12 12:37:11,2023-04-12
