,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,3,0,1678719898,0.0,97,0,0,,TNOTED-23MAR13-B3.49,between,3.5,3.48,,3.48 to 3.5,finalized,2023-03-13 15:04:58,2023-03-13
1,100,3,0,1678719903,0.0,97,0,0,,TNOTED-23MAR13-B3.46,between,3.47,3.45,,3.45 to 3.47,finalized,2023-03-13 15:05:03,2023-03-13
2,100,3,0,1678719907,0.0,97,0,0,,TNOTED-23MAR13-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-03-13 15:05:07,2023-03-13
3,100,3,0,1678719913,0.0,97,0,0,,TNOTED-23MAR13-B3.40,between,3.41,3.39,,3.39 to 3.41,finalized,2023-03-13 15:05:13,2023-03-13
4,100,3,0,1678719918,0.0,97,0,0,,TNOTED-23MAR13-T3.39,less,3.39,,,3.38 or below,finalized,2023-03-13 15:05:18,2023-03-13
5,100,3,0,1678719924,0.0,97,0,0,,TNOTED-23MAR13-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-03-13 15:05:24,2023-03-13
6,100,3,0,1678719931,0.0,97,0,0,,TNOTED-23MAR13-T3.53,greater,,3.53,,3.54 or above,finalized,2023-03-13 15:05:31,2023-03-13
7,96,3,0,1678720574,0.0,97,4,0,,TNOTED-23MAR13-B3.40,between,3.41,3.39,,3.39 to 3.41,finalized,2023-03-13 15:16:14,2023-03-13
8,94,3,0,1678720574,0.0,97,6,0,,TNOTED-23MAR13-B3.40,between,3.41,3.39,,3.39 to 3.41,finalized,2023-03-13 15:16:14,2023-03-13
9,94,90,0,1678720574,0.0,10,6,0,,TNOTED-23MAR13-B3.40,between,3.41,3.39,,3.39 to 3.41,finalized,2023-03-13 15:16:14,2023-03-13
10,94,91,0,1678720574,0.0,9,6,0,,TNOTED-23MAR13-B3.40,between,3.41,3.39,,3.39 to 3.41,finalized,2023-03-13 15:16:14,2023-03-13
11,94,92,0,1678720574,0.0,8,6,0,,TNOTED-23MAR13-B3.40,between,3.41,3.39,,3.39 to 3.41,finalized,2023-03-13 15:16:14,2023-03-13
12,87,3,0,1678720574,0.0,97,13,0,,TNOTED-23MAR13-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-03-13 15:16:14,2023-03-13
13,86,3,0,1678720574,0.0,97,14,0,,TNOTED-23MAR13-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-03-13 15:16:14,2023-03-13
14,84,3,0,1678720574,0.0,97,16,0,,TNOTED-23MAR13-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-03-13 15:16:14,2023-03-13
15,84,79,0,1678720574,0.0,21,16,0,,TNOTED-23MAR13-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-03-13 15:16:14,2023-03-13
16,84,82,0,1678720574,0.0,18,16,0,,TNOTED-23MAR13-B3.43,between,3.44,3.42,,3.42 to 3.44,finalized,2023-03-13 15:16:14,2023-03-13
17,75,3,0,1678720574,0.0,97,25,0,,TNOTED-23MAR13-B3.46,between,3.47,3.45,,3.45 to 3.47,finalized,2023-03-13 15:16:14,2023-03-13
18,75,71,0,1678720574,0.0,29,25,0,,TNOTED-23MAR13-B3.46,between,3.47,3.45,,3.45 to 3.47,finalized,2023-03-13 15:16:14,2023-03-13
19,75,73,0,1678720575,0.0,27,25,0,,TNOTED-23MAR13-B3.46,between,3.47,3.45,,3.45 to 3.47,finalized,2023-03-13 15:16:15,2023-03-13
20,100,4,0,1678720575,0.0,96,0,0,,TNOTED-23MAR13-B3.49,between,3.5,3.48,,3.48 to 3.5,finalized,2023-03-13 15:16:15,2023-03-13
21,79,4,0,1678720575,0.0,96,21,0,,TNOTED-23MAR13-B3.49,between,3.5,3.48,,3.48 to 3.5,finalized,2023-03-13 15:16:15,2023-03-13
22,77,4,0,1678720575,0.0,96,23,0,,TNOTED-23MAR13-B3.49,between,3.5,3.48,,3.48 to 3.5,finalized,2023-03-13 15:16:15,2023-03-13
23,77,71,0,1678720575,0.0,29,23,0,,TNOTED-23MAR13-B3.49,between,3.5,3.48,,3.48 to 3.5,finalized,2023-03-13 15:16:15,2023-03-13
24,77,75,0,1678720575,0.0,25,23,0,,TNOTED-23MAR13-B3.49,between,3.5,3.48,,3.48 to 3.5,finalized,2023-03-13 15:16:15,2023-03-13
25,100,4,0,1678720575,0.0,96,0,0,,TNOTED-23MAR13-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-03-13 15:16:15,2023-03-13
26,90,4,0,1678720575,0.0,96,10,0,,TNOTED-23MAR13-B3.52,between,3.53,3.51,,3.51 to 3.53,finalized,2023-03-13 15:16:15,2023-03-13
