,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1679970069,0.0,99,0,0,,TNOTED-23MAR28-B3.39,between,3.4,3.38,,3.38 to 3.4,finalized,2023-03-28 02:21:09,2023-03-28
1,98,1,0,1679970069,0.0,99,2,0,,TNOTED-23MAR28-B3.39,between,3.4,3.38,,3.38 to 3.4,finalized,2023-03-28 02:21:09,2023-03-28
2,97,1,0,1679970069,0.0,99,3,0,,TNOTED-23MAR28-B3.39,between,3.4,3.38,,3.38 to 3.4,finalized,2023-03-28 02:21:09,2023-03-28
3,97,92,0,1679970069,0.0,8,3,0,,TNOTED-23MAR28-B3.39,between,3.4,3.38,,3.38 to 3.4,finalized,2023-03-28 02:21:09,2023-03-28
4,97,93,0,1679970069,0.0,7,3,0,,TNOTED-23MAR28-B3.39,between,3.4,3.38,,3.38 to 3.4,finalized,2023-03-28 02:21:09,2023-03-28
5,97,94,0,1679970069,0.0,6,3,0,,TNOTED-23MAR28-B3.39,between,3.4,3.38,,3.38 to 3.4,finalized,2023-03-28 02:21:09,2023-03-28
6,96,0,0,1679970069,0.0,100,4,0,,TNOTED-23MAR28-B3.42,between,3.43,3.41,,3.41 to 3.43,finalized,2023-03-28 02:21:09,2023-03-28
7,94,0,0,1679970069,0.0,100,6,0,,TNOTED-23MAR28-B3.42,between,3.43,3.41,,3.41 to 3.43,finalized,2023-03-28 02:21:09,2023-03-28
8,94,91,0,1679970069,0.0,9,6,0,,TNOTED-23MAR28-B3.42,between,3.43,3.41,,3.41 to 3.43,finalized,2023-03-28 02:21:09,2023-03-28
9,100,1,0,1679970069,0.0,99,0,0,,TNOTED-23MAR28-B3.45,between,3.46,3.44,,3.44 to 3.46,finalized,2023-03-28 02:21:09,2023-03-28
10,89,0,0,1679970069,0.0,100,11,0,,TNOTED-23MAR28-B3.48,between,3.49,3.47,,3.47 to 3.49,finalized,2023-03-28 02:21:09,2023-03-28
11,89,84,0,1679970069,0.0,16,11,0,,TNOTED-23MAR28-B3.48,between,3.49,3.47,,3.47 to 3.49,finalized,2023-03-28 02:21:09,2023-03-28
12,89,86,0,1679970069,0.0,14,11,0,,TNOTED-23MAR28-B3.48,between,3.49,3.47,,3.47 to 3.49,finalized,2023-03-28 02:21:09,2023-03-28
13,100,1,0,1679970069,0.0,99,0,0,,TNOTED-23MAR28-B3.51,between,3.52,3.5,,3.5 to 3.52,finalized,2023-03-28 02:21:09,2023-03-28
14,90,1,0,1679970069,0.0,99,10,0,,TNOTED-23MAR28-B3.51,between,3.52,3.5,,3.5 to 3.52,finalized,2023-03-28 02:21:09,2023-03-28
15,89,1,0,1679970069,0.0,99,11,0,,TNOTED-23MAR28-B3.51,between,3.52,3.5,,3.5 to 3.52,finalized,2023-03-28 02:21:09,2023-03-28
16,88,1,0,1679970069,0.0,99,12,0,,TNOTED-23MAR28-B3.51,between,3.52,3.5,,3.5 to 3.52,finalized,2023-03-28 02:21:09,2023-03-28
17,88,83,0,1679970069,0.0,17,12,0,,TNOTED-23MAR28-B3.51,between,3.52,3.5,,3.5 to 3.52,finalized,2023-03-28 02:21:09,2023-03-28
18,88,85,0,1679970069,0.0,15,12,0,,TNOTED-23MAR28-B3.51,between,3.52,3.5,,3.5 to 3.52,finalized,2023-03-28 02:21:09,2023-03-28
19,100,1,0,1679970069,0.0,99,0,0,,TNOTED-23MAR28-B3.54,between,3.55,3.53,,3.53 to 3.55,finalized,2023-03-28 02:21:09,2023-03-28
20,90,1,0,1679970069,0.0,99,10,0,,TNOTED-23MAR28-B3.54,between,3.55,3.53,,3.53 to 3.55,finalized,2023-03-28 02:21:09,2023-03-28
21,89,1,0,1679970069,0.0,99,11,0,,TNOTED-23MAR28-B3.54,between,3.55,3.53,,3.53 to 3.55,finalized,2023-03-28 02:21:09,2023-03-28
22,89,83,0,1679970069,0.0,17,11,0,,TNOTED-23MAR28-B3.54,between,3.55,3.53,,3.53 to 3.55,finalized,2023-03-28 02:21:09,2023-03-28
23,89,86,0,1679970069,0.0,14,11,0,,TNOTED-23MAR28-B3.54,between,3.55,3.53,,3.53 to 3.55,finalized,2023-03-28 02:21:09,2023-03-28
24,100,1,0,1679970069,0.0,99,0,0,,TNOTED-23MAR28-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-03-28 02:21:09,2023-03-28
25,91,1,0,1679970069,0.0,99,9,0,,TNOTED-23MAR28-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-03-28 02:21:09,2023-03-28
26,91,87,0,1679970069,0.0,13,9,0,,TNOTED-23MAR28-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-03-28 02:21:09,2023-03-28
27,91,88,0,1679970069,0.0,12,9,0,,TNOTED-23MAR28-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-03-28 02:21:09,2023-03-28
28,100,1,0,1679970069,0.0,99,0,0,,TNOTED-23MAR28-B3.60,between,3.61,3.59,,3.59 to 3.61,finalized,2023-03-28 02:21:09,2023-03-28
29,94,1,0,1679970069,0.0,99,6,0,,TNOTED-23MAR28-B3.60,between,3.61,3.59,,3.59 to 3.61,finalized,2023-03-28 02:21:09,2023-03-28
30,93,1,0,1679970069,0.0,99,7,0,,TNOTED-23MAR28-B3.60,between,3.61,3.59,,3.59 to 3.61,finalized,2023-03-28 02:21:09,2023-03-28
31,93,90,0,1679970069,0.0,10,7,0,,TNOTED-23MAR28-B3.60,between,3.61,3.59,,3.59 to 3.61,finalized,2023-03-28 02:21:09,2023-03-28
32,100,1,0,1679970069,0.0,99,0,0,,TNOTED-23MAR28-B3.63,between,3.64,3.62,,3.62 to 3.64,finalized,2023-03-28 02:21:09,2023-03-28
33,100,1,0,1679970069,0.0,99,0,0,,TNOTED-23MAR28-T3.38,less,3.38,,,3.37 or below,finalized,2023-03-28 02:21:09,2023-03-28
34,96,1,0,1679970069,0.0,99,4,0,,TNOTED-23MAR28-T3.38,less,3.38,,,3.37 or below,finalized,2023-03-28 02:21:09,2023-03-28
35,95,1,0,1679970069,0.0,99,5,0,,TNOTED-23MAR28-T3.38,less,3.38,,,3.37 or below,finalized,2023-03-28 02:21:09,2023-03-28
36,95,92,0,1679970069,0.0,8,5,0,,TNOTED-23MAR28-T3.38,less,3.38,,,3.37 or below,finalized,2023-03-28 02:21:09,2023-03-28
37,100,1,0,1679970069,0.0,99,0,0,,TNOTED-23MAR28-T3.64,greater,,3.64,,3.65 or above,finalized,2023-03-28 02:21:09,2023-03-28
38,93,1,0,1679970070,0.0,99,7,0,,TNOTED-23MAR28-B3.45,between,3.46,3.44,,3.44 to 3.46,finalized,2023-03-28 02:21:10,2023-03-28
39,92,1,0,1679970070,0.0,99,8,0,,TNOTED-23MAR28-B3.45,between,3.46,3.44,,3.44 to 3.46,finalized,2023-03-28 02:21:10,2023-03-28
40,92,87,0,1679970070,0.0,13,8,0,,TNOTED-23MAR28-B3.45,between,3.46,3.44,,3.44 to 3.46,finalized,2023-03-28 02:21:10,2023-03-28
41,92,89,0,1679970070,0.0,11,8,0,,TNOTED-23MAR28-B3.45,between,3.46,3.44,,3.44 to 3.46,finalized,2023-03-28 02:21:10,2023-03-28
42,96,1,0,1679970070,0.0,99,4,0,,TNOTED-23MAR28-B3.63,between,3.64,3.62,,3.62 to 3.64,finalized,2023-03-28 02:21:10,2023-03-28
43,96,92,0,1679970070,0.0,8,4,0,,TNOTED-23MAR28-B3.63,between,3.64,3.62,,3.62 to 3.64,finalized,2023-03-28 02:21:10,2023-03-28
44,96,93,0,1679970070,0.0,7,4,0,,TNOTED-23MAR28-B3.63,between,3.64,3.62,,3.62 to 3.64,finalized,2023-03-28 02:21:10,2023-03-28
