,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1682723168,0.0,99,0,0,,TNOTED-23MAY01-B3.32,between,3.33,3.31,,3.31 to 3.33,finalized,2023-04-28 23:06:08,2023-04-28
1,98,1,0,1682723168,0.0,99,2,0,,TNOTED-23MAY01-B3.32,between,3.33,3.31,,3.31 to 3.33,finalized,2023-04-28 23:06:08,2023-04-28
2,97,1,0,1682723168,0.0,99,3,0,,TNOTED-23MAY01-B3.32,between,3.33,3.31,,3.31 to 3.33,finalized,2023-04-28 23:06:08,2023-04-28
3,96,1,0,1682723168,0.0,99,4,0,,TNOTED-23MAY01-B3.32,between,3.33,3.31,,3.31 to 3.33,finalized,2023-04-28 23:06:08,2023-04-28
4,96,92,0,1682723168,0.0,8,4,0,,TNOTED-23MAY01-B3.32,between,3.33,3.31,,3.31 to 3.33,finalized,2023-04-28 23:06:08,2023-04-28
5,96,93,0,1682723168,0.0,7,4,0,,TNOTED-23MAY01-B3.32,between,3.33,3.31,,3.31 to 3.33,finalized,2023-04-28 23:06:08,2023-04-28
6,100,1,0,1682723168,0.0,99,0,0,,TNOTED-23MAY01-B3.35,between,3.36,3.34,,3.34 to 3.36,finalized,2023-04-28 23:06:08,2023-04-28
7,92,1,0,1682723168,0.0,99,8,0,,TNOTED-23MAY01-B3.35,between,3.36,3.34,,3.34 to 3.36,finalized,2023-04-28 23:06:08,2023-04-28
8,92,87,0,1682723168,0.0,13,8,0,,TNOTED-23MAY01-B3.35,between,3.36,3.34,,3.34 to 3.36,finalized,2023-04-28 23:06:08,2023-04-28
9,92,88,0,1682723168,0.0,12,8,0,,TNOTED-23MAY01-B3.35,between,3.36,3.34,,3.34 to 3.36,finalized,2023-04-28 23:06:08,2023-04-28
10,92,89,0,1682723168,0.0,11,8,0,,TNOTED-23MAY01-B3.35,between,3.36,3.34,,3.34 to 3.36,finalized,2023-04-28 23:06:08,2023-04-28
