,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,6,0,1681482767,0.0,94,0,0,,TNOTEW-23APR14-B3.36,between,3.37,3.35,,3.35 to 3.37,finalized,2023-04-14 14:32:47,2023-04-14
1,100,84,0,1681482779,0.0,16,0,0,,TNOTEW-23APR14-T3.32,less,3.32,,,3.31 or below,finalized,2023-04-14 14:32:59,2023-04-14
2,100,84,0,1681482789,0.0,16,0,0,,TNOTEW-23APR14-B3.33,between,3.34,3.32,,3.32 to 3.34,finalized,2023-04-14 14:33:09,2023-04-14
3,100,97,0,1681482799,0.0,3,0,0,,TNOTEW-23APR14-T3.32,less,3.32,,,3.31 or below,finalized,2023-04-14 14:33:19,2023-04-14
4,100,97,0,1681482804,0.0,3,0,0,,TNOTEW-23APR14-B3.33,between,3.34,3.32,,3.32 to 3.34,finalized,2023-04-14 14:33:24,2023-04-14
5,100,96,0,1681482810,0.0,4,0,0,,TNOTEW-23APR14-B3.54,between,3.55,3.53,,3.53 to 3.55,finalized,2023-04-14 14:33:30,2023-04-14
6,100,0,0,1681482815,0.0,100,0,0,,TNOTEW-23APR14-B3.54,between,3.55,3.53,,3.53 to 3.55,finalized,2023-04-14 14:33:35,2023-04-14
7,100,1,0,1681482845,0.0,99,0,0,,TNOTEW-23APR14-B3.39,between,3.4,3.38,,3.38 to 3.4,finalized,2023-04-14 14:34:05,2023-04-14
8,100,1,0,1681482845,0.0,99,0,0,,TNOTEW-23APR14-B3.42,between,3.43,3.41,,3.41 to 3.43,finalized,2023-04-14 14:34:05,2023-04-14
9,100,1,0,1681482845,0.0,99,0,0,,TNOTEW-23APR14-B3.45,between,3.46,3.44,,3.44 to 3.46,finalized,2023-04-14 14:34:05,2023-04-14
10,100,1,0,1681482845,0.0,99,0,0,,TNOTEW-23APR14-B3.48,between,3.49,3.47,,3.47 to 3.49,finalized,2023-04-14 14:34:05,2023-04-14
11,97,0,0,1681482845,0.0,100,3,0,,TNOTEW-23APR14-B3.51,between,3.52,3.5,,3.5 to 3.52,finalized,2023-04-14 14:34:05,2023-04-14
12,100,1,0,1681482845,0.0,99,0,0,,TNOTEW-23APR14-B3.54,between,3.55,3.53,,3.53 to 3.55,finalized,2023-04-14 14:34:05,2023-04-14
13,100,1,0,1681482845,0.0,99,0,0,,TNOTEW-23APR14-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-04-14 14:34:05,2023-04-14
14,100,1,0,1681482845,0.0,99,0,0,,TNOTEW-23APR14-T3.58,greater,,3.58,,3.59 or above,finalized,2023-04-14 14:34:05,2023-04-14
15,97,3,0,1681482856,0.0,97,3,0,,TNOTEW-23APR14-B3.51,between,3.52,3.5,,3.5 to 3.52,finalized,2023-04-14 14:34:16,2023-04-14
16,100,3,0,1681482862,0.0,97,0,0,,TNOTEW-23APR14-B3.48,between,3.49,3.47,,3.47 to 3.49,finalized,2023-04-14 14:34:22,2023-04-14
17,100,3,0,1681482865,0.0,97,0,0,,TNOTEW-23APR14-B3.45,between,3.46,3.44,,3.44 to 3.46,finalized,2023-04-14 14:34:25,2023-04-14
18,100,3,0,1681482871,0.0,97,0,0,,TNOTEW-23APR14-B3.42,between,3.43,3.41,,3.41 to 3.43,finalized,2023-04-14 14:34:31,2023-04-14
19,100,3,0,1681482877,0.0,97,0,0,,TNOTEW-23APR14-B3.54,between,3.55,3.53,,3.53 to 3.55,finalized,2023-04-14 14:34:37,2023-04-14
20,100,3,0,1681482882,0.0,97,0,0,,TNOTEW-23APR14-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-04-14 14:34:42,2023-04-14
21,100,3,0,1681482886,0.0,97,0,0,,TNOTEW-23APR14-T3.58,greater,,3.58,,3.59 or above,finalized,2023-04-14 14:34:46,2023-04-14
22,100,3,0,1681482890,0.0,97,0,0,,TNOTEW-23APR14-B3.39,between,3.4,3.38,,3.38 to 3.4,finalized,2023-04-14 14:34:50,2023-04-14
23,99,3,0,1681482898,0.0,97,1,0,,TNOTEW-23APR14-B3.48,between,3.49,3.47,,3.47 to 3.49,finalized,2023-04-14 14:34:58,2023-04-14
24,100,4,0,1681482903,0.0,96,0,0,,TNOTEW-23APR14-B3.39,between,3.4,3.38,,3.38 to 3.4,finalized,2023-04-14 14:35:03,2023-04-14
25,100,4,0,1681482903,0.0,96,0,0,,TNOTEW-23APR14-B3.42,between,3.43,3.41,,3.41 to 3.43,finalized,2023-04-14 14:35:03,2023-04-14
26,100,4,0,1681482903,0.0,96,0,0,,TNOTEW-23APR14-B3.45,between,3.46,3.44,,3.44 to 3.46,finalized,2023-04-14 14:35:03,2023-04-14
27,99,3,0,1681482903,0.0,97,1,0,,TNOTEW-23APR14-B3.54,between,3.55,3.53,,3.53 to 3.55,finalized,2023-04-14 14:35:03,2023-04-14
28,100,4,0,1681482903,0.0,96,0,0,,TNOTEW-23APR14-B3.57,between,3.58,3.56,,3.56 to 3.58,finalized,2023-04-14 14:35:03,2023-04-14
29,100,4,0,1681482903,0.0,96,0,0,,TNOTEW-23APR14-T3.58,greater,,3.58,,3.59 or above,finalized,2023-04-14 14:35:03,2023-04-14
30,97,3,0,1681482924,0.0,97,3,0,,TNOTEW-23APR14-B3.48,between,3.49,3.47,,3.47 to 3.49,finalized,2023-04-14 14:35:24,2023-04-14
31,99,4,0,1681482924,0.0,96,1,0,,TNOTEW-23APR14-B3.54,between,3.55,3.53,,3.53 to 3.55,finalized,2023-04-14 14:35:24,2023-04-14
32,100,7,0,1681482929,0.0,93,0,0,,TNOTEW-23APR14-B3.36,between,3.37,3.35,,3.35 to 3.37,finalized,2023-04-14 14:35:29,2023-04-14
33,97,4,0,1681482929,0.0,96,3,0,,TNOTEW-23APR14-B3.48,between,3.49,3.47,,3.47 to 3.49,finalized,2023-04-14 14:35:29,2023-04-14
34,97,4,0,1681482929,0.0,96,3,0,,TNOTEW-23APR14-B3.51,between,3.52,3.5,,3.5 to 3.52,finalized,2023-04-14 14:35:29,2023-04-14
35,97,4,0,1681482929,0.0,96,3,0,,TNOTEW-23APR14-B3.54,between,3.55,3.53,,3.53 to 3.55,finalized,2023-04-14 14:35:29,2023-04-14
36,94,4,0,1681482935,0.0,96,6,0,,TNOTEW-23APR14-B3.51,between,3.52,3.5,,3.5 to 3.52,finalized,2023-04-14 14:35:35,2023-04-14
37,88,4,0,1681482940,0.0,96,12,0,,TNOTEW-23APR14-B3.51,between,3.52,3.5,,3.5 to 3.52,finalized,2023-04-14 14:35:40,2023-04-14
38,94,4,0,1681482946,0.0,96,6,0,,TNOTEW-23APR14-B3.48,between,3.49,3.47,,3.47 to 3.49,finalized,2023-04-14 14:35:46,2023-04-14
39,89,4,0,1681482953,0.0,96,11,0,,TNOTEW-23APR14-B3.48,between,3.49,3.47,,3.47 to 3.49,finalized,2023-04-14 14:35:53,2023-04-14
40,89,12,0,1681482960,0.0,88,11,0,,TNOTEW-23APR14-B3.48,between,3.49,3.47,,3.47 to 3.49,finalized,2023-04-14 14:36:00,2023-04-14
41,89,13,0,1681482961,0.0,87,11,0,,TNOTEW-23APR14-B3.48,between,3.49,3.47,,3.47 to 3.49,finalized,2023-04-14 14:36:01,2023-04-14
