,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1677881168,0.0,99,0,0,,TNOTEW-23MAR10-B3.79,between,3.8,3.78,,3.78 to 3.8,finalized,2023-03-03 22:06:08,2023-03-03
1,97,0,0,1677881168,0.0,100,3,0,,TNOTEW-23MAR10-B3.82,between,3.83,3.81,,3.81 to 3.83,finalized,2023-03-03 22:06:08,2023-03-03
2,96,0,0,1677881168,0.0,100,4,0,,TNOTEW-23MAR10-B3.82,between,3.83,3.81,,3.81 to 3.83,finalized,2023-03-03 22:06:08,2023-03-03
3,96,93,0,1677881168,0.0,7,4,0,,TNOTEW-23MAR10-B3.82,between,3.83,3.81,,3.81 to 3.83,finalized,2023-03-03 22:06:08,2023-03-03
4,96,94,0,1677881168,0.0,6,4,0,,TNOTEW-23MAR10-B3.82,between,3.83,3.81,,3.81 to 3.83,finalized,2023-03-03 22:06:08,2023-03-03
5,100,1,0,1677881168,0.0,99,0,0,,TNOTEW-23MAR10-B3.85,between,3.86,3.84,,3.84 to 3.86,finalized,2023-03-03 22:06:08,2023-03-03
6,97,0,0,1677881168,0.0,100,3,0,,TNOTEW-23MAR10-B3.88,between,3.89,3.87,,3.87 to 3.89,finalized,2023-03-03 22:06:08,2023-03-03
7,95,0,0,1677881168,0.0,100,5,0,,TNOTEW-23MAR10-B3.88,between,3.89,3.87,,3.87 to 3.89,finalized,2023-03-03 22:06:08,2023-03-03
8,95,1,0,1677881168,0.0,99,5,0,,TNOTEW-23MAR10-B3.88,between,3.89,3.87,,3.87 to 3.89,finalized,2023-03-03 22:06:08,2023-03-03
9,95,92,0,1677881168,0.0,8,5,0,,TNOTEW-23MAR10-B3.88,between,3.89,3.87,,3.87 to 3.89,finalized,2023-03-03 22:06:08,2023-03-03
10,95,93,0,1677881168,0.0,7,5,0,,TNOTEW-23MAR10-B3.88,between,3.89,3.87,,3.87 to 3.89,finalized,2023-03-03 22:06:08,2023-03-03
11,100,1,0,1677881168,0.0,99,0,0,,TNOTEW-23MAR10-B3.91,between,3.92,3.9,,3.9 to 3.92,finalized,2023-03-03 22:06:08,2023-03-03
12,100,1,0,1677881168,0.0,99,0,0,,TNOTEW-23MAR10-B3.94,between,3.95,3.93,,3.93 to 3.95,finalized,2023-03-03 22:06:08,2023-03-03
13,100,1,0,1677881168,0.0,99,0,0,,TNOTEW-23MAR10-B3.97,between,3.98,3.96,,3.96 to 3.98,finalized,2023-03-03 22:06:08,2023-03-03
14,100,1,0,1677881168,0.0,99,0,0,,TNOTEW-23MAR10-B4.00,between,4.01,3.99,,3.99 to 4.01,finalized,2023-03-03 22:06:08,2023-03-03
15,100,1,0,1677881168,0.0,99,0,0,,TNOTEW-23MAR10-B4.03,between,4.04,4.019999,,4.02 to 4.04,finalized,2023-03-03 22:06:08,2023-03-03
16,98,0,0,1677881168,0.0,100,2,0,,TNOTEW-23MAR10-B4.09,between,4.099999,4.08,,4.08 to 4.1,finalized,2023-03-03 22:06:08,2023-03-03
17,97,0,0,1677881168,0.0,100,3,0,,TNOTEW-23MAR10-B4.09,between,4.099999,4.08,,4.08 to 4.1,finalized,2023-03-03 22:06:08,2023-03-03
18,96,0,0,1677881168,0.0,100,4,0,,TNOTEW-23MAR10-B4.09,between,4.099999,4.08,,4.08 to 4.1,finalized,2023-03-03 22:06:08,2023-03-03
19,96,93,0,1677881168,0.0,7,4,0,,TNOTEW-23MAR10-B4.09,between,4.099999,4.08,,4.08 to 4.1,finalized,2023-03-03 22:06:08,2023-03-03
20,96,94,0,1677881168,0.0,6,4,0,,TNOTEW-23MAR10-B4.09,between,4.099999,4.08,,4.08 to 4.1,finalized,2023-03-03 22:06:08,2023-03-03
21,97,0,0,1677881168,0.0,100,3,0,,TNOTEW-23MAR10-B4.15,between,4.16,4.139999,,4.14 to 4.16,finalized,2023-03-03 22:06:08,2023-03-03
22,97,93,0,1677881168,0.0,7,3,0,,TNOTEW-23MAR10-B4.15,between,4.16,4.139999,,4.14 to 4.16,finalized,2023-03-03 22:06:08,2023-03-03
23,97,95,0,1677881168,0.0,5,3,0,,TNOTEW-23MAR10-B4.15,between,4.16,4.139999,,4.14 to 4.16,finalized,2023-03-03 22:06:08,2023-03-03
24,100,1,0,1677881168,0.0,99,0,0,,TNOTEW-23MAR10-T4.16,greater,,4.16,,4.17 or above,finalized,2023-03-03 22:06:08,2023-03-03
