,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,27,0,0,1625321103,0.0,100,73,0,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-03 14:05:03,2021-07-03
1,26,0,0,1625321103,0.0,100,74,0,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-03 14:05:03,2021-07-03
2,25,0,0,1625321103,0.0,100,75,0,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-03 14:05:03,2021-07-03
3,25,19,0,1625321103,0.0,81,75,0,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-03 14:05:03,2021-07-03
4,25,19,0,1625321103,0.0,81,75,0,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-03 14:05:03,2021-07-03
5,25,19,0,1625321103,0.0,81,75,0,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-03 14:05:03,2021-07-03
6,25,19,1,1625434133,1.0,81,75,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-04 21:28:53,2021-07-04
7,25,19,1,1625434143,0.0,81,75,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-04 21:29:03,2021-07-04
8,25,19,1,1625434143,0.0,81,75,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-04 21:29:03,2021-07-04
9,25,19,1,1625434143,0.0,81,75,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-04 21:29:03,2021-07-04
10,25,19,1,1625581047,0.0,81,75,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-06 14:17:27,2021-07-06
11,25,19,1,1625581094,0.0,81,75,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-06 14:18:14,2021-07-06
12,25,19,31,1625670589,30.0,81,75,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-07 15:09:49,2021-07-07
13,25,19,31,1625670602,0.0,81,75,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-07 15:10:02,2021-07-07
14,26,19,31,1625670602,0.0,81,74,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-07 15:10:02,2021-07-07
15,26,19,31,1625670602,0.0,81,74,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-07 15:10:02,2021-07-07
16,26,19,31,1625670602,0.0,81,74,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-07 15:10:02,2021-07-07
17,26,19,31,1625670602,0.0,81,74,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-07 15:10:02,2021-07-07
18,26,19,31,1625670603,0.0,81,74,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-07 15:10:03,2021-07-07
19,26,19,31,1625670603,0.0,81,74,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-07 15:10:03,2021-07-07
20,26,19,31,1625670603,0.0,81,74,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-07 15:10:03,2021-07-07
21,26,20,31,1625670603,0.0,80,74,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-07 15:10:03,2021-07-07
22,26,20,31,1625670603,0.0,80,74,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-07 15:10:03,2021-07-07
23,26,21,31,1625764924,0.0,79,74,75,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-08 17:22:04,2021-07-08
24,26,21,41,1625767470,10.0,79,74,79,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-08 18:04:30,2021-07-08
25,26,21,41,1625767503,0.0,79,74,79,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-08 18:05:03,2021-07-08
26,26,21,41,1625767503,0.0,79,74,79,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-08 18:05:03,2021-07-08
27,26,21,41,1625767503,0.0,79,74,79,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-08 18:05:03,2021-07-08
28,26,21,46,1625777365,5.0,79,74,79,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-08 20:49:25,2021-07-08
29,26,21,46,1625777403,0.0,79,74,79,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-08 20:50:03,2021-07-08
30,26,21,46,1625777403,0.0,79,74,79,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-08 20:50:03,2021-07-08
31,26,21,56,1625786974,10.0,79,74,79,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-08 23:29:34,2021-07-08
32,26,21,56,1625787003,0.0,79,74,79,,U3-21JUL-T5.7,greater,,5.7,,>5.7%,finalized,2021-07-08 23:30:03,2021-07-08
