,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,61,0,0,1643987964,0.0,100,39,0,,U3-22FEB-T3.9,greater,,3.9,,>3.9%,finalized,2022-02-04 15:19:24,2022-02-04
1,60,0,0,1643987964,0.0,100,40,0,,U3-22FEB-T3.9,greater,,3.9,,>3.9%,finalized,2022-02-04 15:19:24,2022-02-04
2,59,0,0,1643987964,0.0,100,41,0,,U3-22FEB-T3.9,greater,,3.9,,>3.9%,finalized,2022-02-04 15:19:24,2022-02-04
3,58,0,0,1643987964,0.0,100,42,0,,U3-22FEB-T3.9,greater,,3.9,,>3.9%,finalized,2022-02-04 15:19:24,2022-02-04
4,57,0,0,1643987964,0.0,100,43,0,,U3-22FEB-T3.9,greater,,3.9,,>3.9%,finalized,2022-02-04 15:19:24,2022-02-04
5,57,53,0,1643987964,0.0,47,43,0,,U3-22FEB-T3.9,greater,,3.9,,>3.9%,finalized,2022-02-04 15:19:24,2022-02-04
6,57,53,0,1643987964,0.0,47,43,0,,U3-22FEB-T3.9,greater,,3.9,,>3.9%,finalized,2022-02-04 15:19:24,2022-02-04
7,57,53,0,1643987964,0.0,47,43,0,,U3-22FEB-T3.9,greater,,3.9,,>3.9%,finalized,2022-02-04 15:19:24,2022-02-04
8,57,53,0,1643987964,0.0,47,43,0,,U3-22FEB-T3.9,greater,,3.9,,>3.9%,finalized,2022-02-04 15:19:24,2022-02-04
9,57,53,0,1643987964,0.0,47,43,0,,U3-22FEB-T3.9,greater,,3.9,,>3.9%,finalized,2022-02-04 15:19:24,2022-02-04
10,85,0,0,1643987965,0.0,100,15,0,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 15:19:25,2022-02-04
11,84,0,0,1643987965,0.0,100,16,0,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 15:19:25,2022-02-04
12,83,0,0,1643987965,0.0,100,17,0,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 15:19:25,2022-02-04
13,82,0,0,1643987965,0.0,100,18,0,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 15:19:25,2022-02-04
14,81,0,0,1643987965,0.0,100,19,0,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 15:19:25,2022-02-04
15,81,77,0,1643987965,0.0,23,19,0,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 15:19:25,2022-02-04
16,81,77,0,1643987965,0.0,23,19,0,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 15:19:25,2022-02-04
17,81,77,0,1643987965,0.0,23,19,0,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 15:19:25,2022-02-04
18,81,77,0,1643987965,0.0,23,19,0,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 15:19:25,2022-02-04
19,81,77,0,1643987965,0.0,23,19,0,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 15:19:25,2022-02-04
20,36,0,0,1643988031,0.0,100,64,0,,U3-22FEB-T3.8,greater,,3.8,,>3.8%,finalized,2022-02-04 15:20:31,2022-02-04
21,35,0,0,1643988031,0.0,100,65,0,,U3-22FEB-T3.8,greater,,3.8,,>3.8%,finalized,2022-02-04 15:20:31,2022-02-04
22,34,0,0,1643988031,0.0,100,66,0,,U3-22FEB-T3.8,greater,,3.8,,>3.8%,finalized,2022-02-04 15:20:31,2022-02-04
23,33,0,0,1643988031,0.0,100,67,0,,U3-22FEB-T3.8,greater,,3.8,,>3.8%,finalized,2022-02-04 15:20:31,2022-02-04
24,32,0,0,1643988031,0.0,100,68,0,,U3-22FEB-T3.8,greater,,3.8,,>3.8%,finalized,2022-02-04 15:20:31,2022-02-04
25,32,28,0,1643988031,0.0,72,68,0,,U3-22FEB-T3.8,greater,,3.8,,>3.8%,finalized,2022-02-04 15:20:31,2022-02-04
26,32,28,0,1643988031,0.0,72,68,0,,U3-22FEB-T3.8,greater,,3.8,,>3.8%,finalized,2022-02-04 15:20:31,2022-02-04
27,32,28,0,1643988031,0.0,72,68,0,,U3-22FEB-T3.8,greater,,3.8,,>3.8%,finalized,2022-02-04 15:20:31,2022-02-04
28,32,28,0,1643988031,0.0,72,68,0,,U3-22FEB-T3.8,greater,,3.8,,>3.8%,finalized,2022-02-04 15:20:31,2022-02-04
29,32,28,0,1643988031,0.0,72,68,0,,U3-22FEB-T3.8,greater,,3.8,,>3.8%,finalized,2022-02-04 15:20:31,2022-02-04
30,81,0,217,1644009783,217.0,100,19,27,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 21:23:03,2022-02-04
31,81,0,217,1644009802,0.0,100,19,27,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 21:23:22,2022-02-04
32,81,0,217,1644009802,0.0,100,19,27,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 21:23:22,2022-02-04
33,81,0,217,1644009802,0.0,100,19,27,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 21:23:22,2022-02-04
34,81,0,217,1644009802,0.0,100,19,27,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 21:23:22,2022-02-04
35,100,0,217,1644009802,0.0,100,0,27,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 21:23:22,2022-02-04
36,80,0,217,1644009802,0.0,100,20,27,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 21:23:22,2022-02-04
37,79,0,217,1644009802,0.0,100,21,27,,U3-22FEB-T4.0,greater,,4.0,,>4.0%,finalized,2022-02-04 21:23:22,2022-02-04
