,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1641655257,0.0,100,1,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 15:20:57,2022-01-08
1,99,1,0,1641655266,0.0,99,1,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 15:21:06,2022-01-08
2,99,0,0,1641655279,0.0,100,1,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 15:21:19,2022-01-08
3,99,1,0,1641655285,0.0,99,1,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 15:21:25,2022-01-08
4,99,0,0,1641655293,0.0,100,1,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 15:21:33,2022-01-08
5,99,1,0,1641655300,0.0,99,1,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 15:21:40,2022-01-08
6,51,1,0,1641659836,0.0,99,49,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 16:37:16,2022-01-08
7,50,1,0,1641659836,0.0,99,50,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 16:37:16,2022-01-08
8,49,1,0,1641659836,0.0,99,51,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 16:37:16,2022-01-08
9,48,1,0,1641659836,0.0,99,52,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 16:37:16,2022-01-08
10,26,1,0,1641659837,0.0,99,74,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 16:37:17,2022-01-08
11,25,1,0,1641659837,0.0,99,75,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 16:37:17,2022-01-08
12,24,1,0,1641659837,0.0,99,76,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 16:37:17,2022-01-08
13,23,1,0,1641659837,0.0,99,77,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 16:37:17,2022-01-08
14,22,1,0,1641659837,0.0,99,78,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 16:37:17,2022-01-08
15,22,18,0,1641659837,0.0,82,78,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 16:37:17,2022-01-08
16,22,18,0,1641659837,0.0,82,78,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 16:37:17,2022-01-08
17,22,18,0,1641659837,0.0,82,78,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 16:37:17,2022-01-08
18,22,18,0,1641659837,0.0,82,78,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 16:37:17,2022-01-08
19,22,18,0,1641659837,0.0,82,78,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 16:37:17,2022-01-08
20,47,1,0,1641659837,0.0,99,53,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 16:37:17,2022-01-08
21,47,43,0,1641659837,0.0,57,53,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 16:37:17,2022-01-08
22,47,43,0,1641659837,0.0,57,53,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 16:37:17,2022-01-08
23,47,43,0,1641659837,0.0,57,53,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 16:37:17,2022-01-08
24,47,43,0,1641659837,0.0,57,53,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 16:37:17,2022-01-08
25,47,43,0,1641659837,0.0,57,53,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 16:37:17,2022-01-08
26,76,1,0,1641659897,0.0,99,24,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 16:38:17,2022-01-08
27,75,1,0,1641659897,0.0,99,25,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 16:38:17,2022-01-08
28,74,1,0,1641659897,0.0,99,26,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 16:38:17,2022-01-08
29,73,1,0,1641659897,0.0,99,27,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 16:38:17,2022-01-08
30,72,1,0,1641659897,0.0,99,28,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 16:38:17,2022-01-08
31,72,68,0,1641659897,0.0,32,28,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 16:38:17,2022-01-08
32,72,68,0,1641659897,0.0,32,28,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 16:38:17,2022-01-08
33,72,68,0,1641659897,0.0,32,28,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 16:38:17,2022-01-08
34,72,68,0,1641659897,0.0,32,28,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 16:38:17,2022-01-08
35,72,68,0,1641659897,0.0,32,28,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 16:38:17,2022-01-08
36,72,68,0,1641661889,0.0,32,28,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 17:11:29,2022-01-08
37,72,68,0,1641661895,0.0,32,28,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 17:11:35,2022-01-08
38,47,43,0,1641661906,0.0,57,53,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 17:11:46,2022-01-08
39,47,43,0,1641661911,0.0,57,53,0,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-08 17:11:51,2022-01-08
40,72,68,0,1641661920,0.0,32,28,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 17:12:00,2022-01-08
41,72,68,0,1641661926,0.0,32,28,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 17:12:06,2022-01-08
42,22,18,0,1641661936,0.0,82,78,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 17:12:16,2022-01-08
43,22,18,0,1641661952,0.0,82,78,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 17:12:32,2022-01-08
44,72,68,0,1641672719,0.0,32,28,0,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-08 20:11:59,2022-01-08
45,22,18,0,1641672759,0.0,82,78,0,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-08 20:12:39,2022-01-08
46,22,18,6,1641751910,6.0,82,78,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-09 18:11:50,2022-01-09
47,22,18,6,1641751939,0.0,82,78,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-09 18:12:19,2022-01-09
48,23,18,6,1641751939,0.0,82,77,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-09 18:12:19,2022-01-09
49,23,18,6,1641751939,0.0,82,77,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-09 18:12:19,2022-01-09
50,23,18,6,1641751939,0.0,82,77,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-09 18:12:19,2022-01-09
51,22,18,6,1641751939,0.0,82,78,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-09 18:12:19,2022-01-09
52,22,18,6,1641751939,0.0,82,78,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-09 18:12:19,2022-01-09
53,18,17,46,1641908572,40.0,83,82,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-11 13:42:52,2022-01-11
54,18,17,46,1641908598,0.0,83,82,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-11 13:43:18,2022-01-11
55,18,17,46,1641908598,0.0,83,82,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-11 13:43:18,2022-01-11
56,18,17,46,1641908598,0.0,83,82,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-11 13:43:18,2022-01-11
57,18,17,46,1641908598,0.0,83,82,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-11 13:43:18,2022-01-11
58,18,16,46,1641908598,0.0,84,82,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-11 13:43:18,2022-01-11
59,18,16,46,1641908598,0.0,84,82,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-11 13:43:18,2022-01-11
60,18,16,46,1641908598,0.0,84,82,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-11 13:43:18,2022-01-11
61,18,16,46,1641908598,0.0,84,82,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-11 13:43:18,2022-01-11
62,18,16,46,1641908598,0.0,84,82,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-11 13:43:18,2022-01-11
63,18,17,46,1641908598,0.0,83,82,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-11 13:43:18,2022-01-11
64,18,17,46,1641908598,0.0,83,82,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-11 13:43:18,2022-01-11
65,47,43,11,1641930636,11.0,57,53,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-11 19:50:36,2022-01-11
66,47,43,11,1641930683,0.0,57,53,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-11 19:51:23,2022-01-11
67,47,43,11,1641930683,0.0,57,53,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-11 19:51:23,2022-01-11
68,47,42,11,1641930683,0.0,58,53,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-11 19:51:23,2022-01-11
69,47,42,11,1641930684,0.0,58,53,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-11 19:51:24,2022-01-11
70,47,42,11,1641930684,0.0,58,53,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-11 19:51:24,2022-01-11
71,47,42,11,1641930684,0.0,58,53,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-11 19:51:24,2022-01-11
72,47,42,11,1641930684,0.0,58,53,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-11 19:51:24,2022-01-11
73,47,42,11,1641930684,0.0,58,53,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-11 19:51:24,2022-01-11
74,47,43,11,1641930684,0.0,57,53,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-11 19:51:24,2022-01-11
75,47,43,11,1641930684,0.0,57,53,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-11 19:51:24,2022-01-11
76,47,43,11,1641930684,0.0,57,53,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-11 19:51:24,2022-01-11
77,21,17,46,1641992400,0.0,83,79,82,,U3-22JAN-T3.6,greater,,3.6,,>3.6%,finalized,2022-01-12 13:00:00,2022-01-12
78,67,66,65,1642005947,65.0,34,33,33,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-12 16:45:47,2022-01-12
79,67,66,65,1642005980,0.0,34,33,33,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-12 16:46:20,2022-01-12
80,67,66,65,1642005980,0.0,34,33,33,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-12 16:46:20,2022-01-12
81,67,66,65,1642005980,0.0,34,33,33,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-12 16:46:20,2022-01-12
82,67,66,65,1642005980,0.0,34,33,33,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-12 16:46:20,2022-01-12
83,67,66,65,1642005980,0.0,34,33,33,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-12 16:46:20,2022-01-12
84,67,66,65,1642005980,0.0,34,33,33,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-12 16:46:20,2022-01-12
85,67,66,65,1642005980,0.0,34,33,33,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-12 16:46:20,2022-01-12
86,67,66,65,1642005980,0.0,34,33,33,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-12 16:46:20,2022-01-12
87,67,66,65,1642005980,0.0,34,33,33,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-12 16:46:20,2022-01-12
88,67,66,65,1642005980,0.0,34,33,33,,U3-22JAN-T3.8,greater,,3.8,,>3.8%,finalized,2022-01-12 16:46:20,2022-01-12
89,45,43,11,1642005981,0.0,57,55,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-12 16:46:21,2022-01-12
90,45,44,11,1642017227,0.0,56,55,53,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-12 19:53:47,2022-01-12
91,45,43,21,1642080252,10.0,57,55,56,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-13 13:24:12,2022-01-13
92,45,42,43,1642088166,33.0,58,55,58,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-13 15:36:06,2022-01-13
93,45,41,43,1642088180,0.0,59,55,58,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-13 15:36:20,2022-01-13
94,45,43,43,1642088180,0.0,57,55,58,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-13 15:36:20,2022-01-13
95,45,43,43,1642088180,0.0,57,55,58,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-13 15:36:20,2022-01-13
96,45,43,43,1642088240,0.0,57,55,58,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-13 15:37:20,2022-01-13
97,45,43,43,1642088240,0.0,57,55,58,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-13 15:37:20,2022-01-13
98,45,43,43,1642088240,0.0,57,55,58,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-13 15:37:20,2022-01-13
99,45,42,43,1642088240,0.0,58,55,58,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-13 15:37:20,2022-01-13
100,45,42,43,1642088240,0.0,58,55,58,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-13 15:37:20,2022-01-13
101,45,42,43,1642088240,0.0,58,55,58,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-13 15:37:20,2022-01-13
102,45,42,43,1642088240,0.0,58,55,58,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-13 15:37:20,2022-01-13
103,45,42,43,1642088240,0.0,58,55,58,,U3-22JAN-T3.7,greater,,3.7,,>3.7%,finalized,2022-01-13 15:37:20,2022-01-13
