,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,97,0,0,1654265837,0.0,100,3,0,,U3-22JUN-T3.4,greater,,3.4,,>3.4%,finalized,2022-06-03 14:17:17,2022-06-03
1,39,0,0,1654268316,0.0,100,61,0,,U3-22JUN-T3.5,greater,,3.5,,>3.5%,finalized,2022-06-03 14:58:36,2022-06-03
2,38,0,0,1654268316,0.0,100,62,0,,U3-22JUN-T3.5,greater,,3.5,,>3.5%,finalized,2022-06-03 14:58:36,2022-06-03
3,37,0,0,1654268316,0.0,100,63,0,,U3-22JUN-T3.5,greater,,3.5,,>3.5%,finalized,2022-06-03 14:58:36,2022-06-03
4,37,33,0,1654268316,0.0,67,63,0,,U3-22JUN-T3.5,greater,,3.5,,>3.5%,finalized,2022-06-03 14:58:36,2022-06-03
5,37,33,0,1654268316,0.0,67,63,0,,U3-22JUN-T3.5,greater,,3.5,,>3.5%,finalized,2022-06-03 14:58:36,2022-06-03
6,37,33,0,1654268316,0.0,67,63,0,,U3-22JUN-T3.5,greater,,3.5,,>3.5%,finalized,2022-06-03 14:58:36,2022-06-03
7,16,0,0,1654268317,0.0,100,84,0,,U3-22JUN-T3.4,greater,,3.4,,>3.4%,finalized,2022-06-03 14:58:37,2022-06-03
8,15,0,0,1654268317,0.0,100,85,0,,U3-22JUN-T3.4,greater,,3.4,,>3.4%,finalized,2022-06-03 14:58:37,2022-06-03
9,14,0,0,1654268317,0.0,100,86,0,,U3-22JUN-T3.4,greater,,3.4,,>3.4%,finalized,2022-06-03 14:58:37,2022-06-03
10,14,10,0,1654268317,0.0,90,86,0,,U3-22JUN-T3.4,greater,,3.4,,>3.4%,finalized,2022-06-03 14:58:37,2022-06-03
11,14,10,0,1654268317,0.0,90,86,0,,U3-22JUN-T3.4,greater,,3.4,,>3.4%,finalized,2022-06-03 14:58:37,2022-06-03
