,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1655429922,0.0,100,1,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-06-17 01:38:42,2022-06-17
1,99,0,0,1655429922,0.0,100,1,0,,U3-22OCT-T3.6,greater,,3.6,,>3.6%,finalized,2022-06-17 01:38:42,2022-06-17
2,99,0,0,1655429922,0.0,100,1,0,,U3-22OCT-T3.8,greater,,3.8,,>3.8%,finalized,2022-06-17 01:38:42,2022-06-17
3,99,0,0,1655429922,0.0,100,1,0,,U3-22OCT-T4.0,greater,,4.0,,>4.0%,finalized,2022-06-17 01:38:42,2022-06-17
4,99,0,0,1655429922,0.0,100,1,0,,U3-22OCT-T4.2,greater,,4.2,,>4.2%,finalized,2022-06-17 01:38:42,2022-06-17
5,99,0,0,1655429923,0.0,100,1,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-06-17 01:38:43,2022-06-17
6,99,0,0,1655429923,0.0,100,1,0,,U3-22OCT-T4.6,greater,,4.6,,>4.6%,finalized,2022-06-17 01:38:43,2022-06-17
7,99,0,0,1655429923,0.0,100,1,0,,U3-22OCT-T4.8,greater,,4.8,,>4.8%,finalized,2022-06-17 01:38:43,2022-06-17
8,99,0,0,1655429923,0.0,100,1,0,,U3-22OCT-T5.0,greater,,5.0,,>5.0%,finalized,2022-06-17 01:38:43,2022-06-17
9,99,0,0,1655429923,0.0,100,1,0,,U3-22OCT-T5.2,greater,,5.2,,>5.2%,finalized,2022-06-17 01:38:43,2022-06-17
10,99,0,0,1655429923,0.0,100,1,0,,U3-22OCT-T5.4,greater,,5.4,,>5.4%,finalized,2022-06-17 01:38:43,2022-06-17
11,99,0,0,1655429923,0.0,100,1,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-06-17 01:38:43,2022-06-17
12,99,0,0,1655429924,0.0,100,1,0,,U3-22OCT-T5.8,greater,,5.8,,>5.8%,finalized,2022-06-17 01:38:44,2022-06-17
13,100,0,0,1655431832,0.0,100,0,0,,U3-22OCT-T4.2,greater,,4.2,,>4.2%,finalized,2022-06-17 02:10:32,2022-06-17
14,100,0,0,1655431832,0.0,100,0,0,,U3-22OCT-T4.6,greater,,4.6,,>4.6%,finalized,2022-06-17 02:10:32,2022-06-17
15,100,0,0,1655431832,0.0,100,0,0,,U3-22OCT-T5.2,greater,,5.2,,>5.2%,finalized,2022-06-17 02:10:32,2022-06-17
16,100,0,0,1655431832,0.0,100,0,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-06-17 02:10:32,2022-06-17
17,100,0,0,1655431833,0.0,100,0,0,,U3-22OCT-T5.0,greater,,5.0,,>5.0%,finalized,2022-06-17 02:10:33,2022-06-17
18,100,0,0,1655431834,0.0,100,0,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-06-17 02:10:34,2022-06-17
19,100,0,0,1655431836,0.0,100,0,0,,U3-22OCT-T4.8,greater,,4.8,,>4.8%,finalized,2022-06-17 02:10:36,2022-06-17
20,100,0,0,1655431839,0.0,100,0,0,,U3-22OCT-T3.6,greater,,3.6,,>3.6%,finalized,2022-06-17 02:10:39,2022-06-17
21,100,0,0,1655431839,0.0,100,0,0,,U3-22OCT-T3.8,greater,,3.8,,>3.8%,finalized,2022-06-17 02:10:39,2022-06-17
22,100,0,0,1655431839,0.0,100,0,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-06-17 02:10:39,2022-06-17
23,100,0,0,1655431840,0.0,100,0,0,,U3-22OCT-T4.0,greater,,4.0,,>4.0%,finalized,2022-06-17 02:10:40,2022-06-17
24,100,0,0,1655431840,0.0,100,0,0,,U3-22OCT-T5.8,greater,,5.8,,>5.8%,finalized,2022-06-17 02:10:40,2022-06-17
25,100,0,0,1655431841,0.0,100,0,0,,U3-22OCT-T5.4,greater,,5.4,,>5.4%,finalized,2022-06-17 02:10:41,2022-06-17
26,90,0,0,1657668677,0.0,100,10,0,,U3-22OCT-T3.8,greater,,3.8,,>3.8%,finalized,2022-07-12 23:31:17,2022-07-12
27,55,0,0,1657715969,0.0,100,45,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-07-13 12:39:29,2022-07-13
28,54,0,0,1657715969,0.0,100,46,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-07-13 12:39:29,2022-07-13
29,53,0,0,1657715970,0.0,100,47,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-07-13 12:39:30,2022-07-13
30,53,47,0,1657715970,0.0,53,47,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-07-13 12:39:30,2022-07-13
31,53,47,0,1657715970,0.0,53,47,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-07-13 12:39:30,2022-07-13
32,53,47,0,1657715970,0.0,53,47,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-07-13 12:39:30,2022-07-13
33,55,0,0,1657715972,0.0,100,45,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-07-13 12:39:32,2022-07-13
34,54,0,0,1657715972,0.0,100,46,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-07-13 12:39:32,2022-07-13
35,53,0,0,1657715972,0.0,100,47,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-07-13 12:39:32,2022-07-13
36,53,47,0,1657715972,0.0,53,47,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-07-13 12:39:32,2022-07-13
37,53,47,0,1657715972,0.0,53,47,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-07-13 12:39:32,2022-07-13
38,53,47,0,1657715972,0.0,53,47,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-07-13 12:39:32,2022-07-13
39,53,47,0,1657716462,0.0,53,47,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-07-13 12:47:42,2022-07-13
40,53,47,0,1657716462,0.0,53,47,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-07-13 12:47:42,2022-07-13
41,100,47,0,1657716462,0.0,53,0,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-07-13 12:47:42,2022-07-13
42,100,46,0,1657716462,0.0,54,0,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-07-13 12:47:42,2022-07-13
43,100,45,0,1657716462,0.0,55,0,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-07-13 12:47:42,2022-07-13
44,100,0,0,1657716462,0.0,100,0,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-07-13 12:47:42,2022-07-13
45,53,47,0,1657716464,0.0,53,47,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-07-13 12:47:44,2022-07-13
46,53,47,0,1657716464,0.0,53,47,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-07-13 12:47:44,2022-07-13
47,100,47,0,1657716464,0.0,53,0,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-07-13 12:47:44,2022-07-13
48,100,46,0,1657716464,0.0,54,0,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-07-13 12:47:44,2022-07-13
49,100,45,0,1657716464,0.0,55,0,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-07-13 12:47:44,2022-07-13
50,100,0,0,1657716464,0.0,100,0,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-07-13 12:47:44,2022-07-13
51,100,0,0,1657716692,0.0,100,0,0,,U3-22OCT-T3.8,greater,,3.8,,>3.8%,finalized,2022-07-13 12:51:32,2022-07-13
52,99,0,0,1659453316,0.0,100,1,0,,U3-22OCT-T5.8,greater,,5.8,,>5.8%,finalized,2022-08-02 15:15:16,2022-08-02
53,99,0,0,1659984742,0.0,100,1,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-08-08 18:52:22,2022-08-08
54,99,1,0,1661174642,0.0,99,1,0,,U3-22OCT-T5.8,greater,,5.8,,>5.8%,finalized,2022-08-22 13:24:02,2022-08-22
55,99,35,0,1661174649,0.0,65,1,0,,U3-22OCT-T5.8,greater,,5.8,,>5.8%,finalized,2022-08-22 13:24:09,2022-08-22
56,90,0,0,1661530404,0.0,100,10,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-08-26 16:13:24,2022-08-26
57,80,0,0,1661530415,0.0,100,20,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-08-26 16:13:35,2022-08-26
58,70,0,0,1661530420,0.0,100,30,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-08-26 16:13:40,2022-08-26
59,60,0,0,1661530425,0.0,100,40,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-08-26 16:13:45,2022-08-26
60,60,0,0,1661612130,0.0,100,40,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-08-27 14:55:30,2022-08-27
61,60,0,0,1661655133,0.0,100,40,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-08-28 02:52:13,2022-08-28
62,70,0,0,1662059314,0.0,100,30,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-09-01 19:08:34,2022-09-01
63,70,1,0,1662075976,0.0,99,30,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-09-01 23:46:16,2022-09-01
64,65,1,0,1662148762,0.0,99,35,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-09-02 19:59:22,2022-09-02
65,55,1,0,1662222170,0.0,99,45,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-09-03 16:22:50,2022-09-03
66,50,1,0,1662477302,0.0,99,50,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-09-06 15:15:02,2022-09-06
67,50,1,0,1662486970,0.0,99,50,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-09-06 17:56:10,2022-09-06
68,50,1,0,1662486976,0.0,99,50,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-09-06 17:56:16,2022-09-06
69,45,1,0,1662486987,0.0,99,55,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-09-06 17:56:27,2022-09-06
70,99,0,0,1662486997,0.0,100,1,0,,U3-22OCT-T3.6,greater,,3.6,,>3.6%,finalized,2022-09-06 17:56:37,2022-09-06
71,99,1,0,1662487003,0.0,99,1,0,,U3-22OCT-T3.6,greater,,3.6,,>3.6%,finalized,2022-09-06 17:56:43,2022-09-06
72,99,0,0,1662487015,0.0,100,1,0,,U3-22OCT-T3.8,greater,,3.8,,>3.8%,finalized,2022-09-06 17:56:55,2022-09-06
73,99,1,0,1662487020,0.0,99,1,0,,U3-22OCT-T3.8,greater,,3.8,,>3.8%,finalized,2022-09-06 17:57:00,2022-09-06
74,100,1,0,1662487037,0.0,99,0,0,,U3-22OCT-T5.6,greater,,5.6,,>5.6%,finalized,2022-09-06 17:57:17,2022-09-06
75,100,1,0,1662487042,0.0,99,0,0,,U3-22OCT-T5.4,greater,,5.4,,>5.4%,finalized,2022-09-06 17:57:22,2022-09-06
76,100,1,0,1662487046,0.0,99,0,0,,U3-22OCT-T5.2,greater,,5.2,,>5.2%,finalized,2022-09-06 17:57:26,2022-09-06
77,100,1,0,1662487053,0.0,99,0,0,,U3-22OCT-T5.0,greater,,5.0,,>5.0%,finalized,2022-09-06 17:57:33,2022-09-06
78,100,1,0,1662487058,0.0,99,0,0,,U3-22OCT-T4.8,greater,,4.8,,>4.8%,finalized,2022-09-06 17:57:38,2022-09-06
79,100,1,0,1662487064,0.0,99,0,0,,U3-22OCT-T4.6,greater,,4.6,,>4.6%,finalized,2022-09-06 17:57:44,2022-09-06
80,100,1,0,1662487072,0.0,99,0,0,,U3-22OCT-T4.4,greater,,4.4,,>4.4%,finalized,2022-09-06 17:57:52,2022-09-06
81,100,1,0,1662487076,0.0,99,0,0,,U3-22OCT-T4.2,greater,,4.2,,>4.2%,finalized,2022-09-06 17:57:56,2022-09-06
82,100,1,0,1662487085,0.0,99,0,0,,U3-22OCT-T4.0,greater,,4.0,,>4.0%,finalized,2022-09-06 17:58:05,2022-09-06
83,99,1,0,1662487101,0.0,99,1,0,,U3-22OCT-T4.0,greater,,4.0,,>4.0%,finalized,2022-09-06 17:58:21,2022-09-06
84,45,1,0,1662667859,0.0,99,55,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-09-08 20:10:59,2022-09-08
85,90,1,0,1663040808,0.0,99,10,0,,U3-22OCT-T3.6,greater,,3.6,,>3.6%,finalized,2022-09-13 03:46:48,2022-09-13
86,99,35,100,1663206765,100.0,65,1,1,,U3-22OCT-T5.8,greater,,5.8,,>5.8%,finalized,2022-09-15 01:52:45,2022-09-15
87,88,1,0,1663208733,0.0,99,12,0,,U3-22OCT-T3.6,greater,,3.6,,>3.6%,finalized,2022-09-15 02:25:33,2022-09-15
88,98,1,0,1663359872,0.0,99,2,0,,U3-22OCT-T3.8,greater,,3.8,,>3.8%,finalized,2022-09-16 20:24:32,2022-09-16
89,75,1,0,1663359878,0.0,99,25,0,,U3-22OCT-T3.6,greater,,3.6,,>3.6%,finalized,2022-09-16 20:24:38,2022-09-16
90,40,1,0,1663359886,0.0,99,60,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-09-16 20:24:46,2022-09-16
91,40,1,0,1663359895,0.0,99,60,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-09-16 20:24:55,2022-09-16
92,99,1,100,1663710228,0.0,99,1,1,,U3-22OCT-T5.8,greater,,5.8,,>5.8%,finalized,2022-09-20 21:43:48,2022-09-20
93,99,50,100,1663710240,0.0,50,1,1,,U3-22OCT-T5.8,greater,,5.8,,>5.8%,finalized,2022-09-20 21:44:00,2022-09-20
94,38,1,0,1663787848,0.0,99,62,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-09-21 19:17:28,2022-09-21
95,38,1,0,1663787857,0.0,99,62,0,,U3-22OCT-T3.4,greater,,3.4,,>3.4%,finalized,2022-09-21 19:17:37,2022-09-21
96,75,1,0,1663787872,0.0,99,25,0,,U3-22OCT-T3.6,greater,,3.6,,>3.6%,finalized,2022-09-21 19:17:52,2022-09-21
97,70,1,0,1663787883,0.0,99,30,0,,U3-22OCT-T3.6,greater,,3.6,,>3.6%,finalized,2022-09-21 19:18:03,2022-09-21
98,94,1,0,1663987762,0.0,99,6,0,,U3-22OCT-T4.0,greater,,4.0,,>4.0%,finalized,2022-09-24 02:49:22,2022-09-24
99,92,1,0,1663987771,0.0,99,8,0,,U3-22OCT-T3.8,greater,,3.8,,>3.8%,finalized,2022-09-24 02:49:31,2022-09-24
100,98,1,0,1663987790,0.0,99,2,0,,U3-22OCT-T4.2,greater,,4.2,,>4.2%,finalized,2022-09-24 02:49:50,2022-09-24
101,99,55,100,1664148639,0.0,45,1,1,,U3-22OCT-T5.8,greater,,5.8,,>5.8%,finalized,2022-09-25 23:30:39,2022-09-25
102,99,50,100,1664366444,0.0,50,1,1,,U3-22OCT-T5.8,greater,,5.8,,>5.8%,finalized,2022-09-28 12:00:44,2022-09-28
103,70,1,0,1664623741,0.0,99,30,0,,U3-22OCT-T3.6,greater,,3.6,,>3.6%,finalized,2022-10-01 11:29:01,2022-10-01
104,70,1,0,1664839220,0.0,99,30,0,,U3-22OCT-T3.6,greater,,3.6,,>3.6%,finalized,2022-10-03 23:20:20,2022-10-03
105,85,1,0,1664839235,0.0,99,15,0,,U3-22OCT-T3.8,greater,,3.8,,>3.8%,finalized,2022-10-03 23:20:35,2022-10-03
106,85,1,0,1664839279,0.0,99,15,0,,U3-22OCT-T3.8,greater,,3.8,,>3.8%,finalized,2022-10-03 23:21:19,2022-10-03
107,90,1,0,1664839286,0.0,99,10,0,,U3-22OCT-T3.8,greater,,3.8,,>3.8%,finalized,2022-10-03 23:21:26,2022-10-03
108,90,1,0,1664839293,0.0,99,10,0,,U3-22OCT-T3.8,greater,,3.8,,>3.8%,finalized,2022-10-03 23:21:33,2022-10-03
109,94,25,0,1664839330,0.0,75,6,0,,U3-22OCT-T4.0,greater,,4.0,,>4.0%,finalized,2022-10-03 23:22:10,2022-10-03
