,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1672944043,0.0,100,1,0,,U3-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2023-01-05 18:40:43,2023-01-05
1,95,0,0,1672944055,0.0,100,5,0,,U3-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2023-01-05 18:40:55,2023-01-05
2,90,0,0,1672944068,0.0,100,10,0,,U3-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2023-01-05 18:41:08,2023-01-05
3,95,0,0,1672947501,0.0,100,5,0,,U3-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2023-01-05 19:38:21,2023-01-05
4,99,0,0,1672952505,0.0,100,1,0,,U3-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2023-01-05 21:01:45,2023-01-05
5,100,0,0,1672952505,0.0,100,0,0,,U3-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2023-01-05 21:01:45,2023-01-05
6,100,22,0,1673042132,0.0,78,0,0,,U3-23APR-T3.5,greater,,3.5,,3.6% or higher,finalized,2023-01-06 21:55:32,2023-01-06
7,100,40,0,1673042132,0.0,60,0,0,,U3-23APR-T3.6,greater,,3.6,,3.7% or higher,finalized,2023-01-06 21:55:32,2023-01-06
8,49,40,0,1673042132,0.0,60,51,0,,U3-23APR-T3.6,greater,,3.6,,3.7% or higher,finalized,2023-01-06 21:55:32,2023-01-06
9,100,65,0,1673042132,0.0,35,0,0,,U3-23APR-T3.8,greater,,3.8,,3.9% or higher,finalized,2023-01-06 21:55:32,2023-01-06
10,100,67,0,1673042132,0.0,33,0,0,,U3-23APR-T3.8,greater,,3.8,,3.9% or higher,finalized,2023-01-06 21:55:32,2023-01-06
11,100,69,0,1673042132,0.0,31,0,0,,U3-23APR-T3.8,greater,,3.8,,3.9% or higher,finalized,2023-01-06 21:55:32,2023-01-06
12,100,87,0,1673042132,0.0,13,0,0,,U3-23APR-T4.0,greater,,4.0,,4.1% or higher,finalized,2023-01-06 21:55:32,2023-01-06
13,94,87,0,1673042132,0.0,13,6,0,,U3-23APR-T4.0,greater,,4.0,,4.1% or higher,finalized,2023-01-06 21:55:32,2023-01-06
14,93,87,0,1673042132,0.0,13,7,0,,U3-23APR-T4.0,greater,,4.0,,4.1% or higher,finalized,2023-01-06 21:55:32,2023-01-06
15,100,95,0,1673042132,0.0,5,0,0,,U3-23APR-T4.2,greater,,4.2,,4.3% or higher,finalized,2023-01-06 21:55:32,2023-01-06
16,47,40,0,1673042133,0.0,60,53,0,,U3-23APR-T3.6,greater,,3.6,,3.7% or higher,finalized,2023-01-06 21:55:33,2023-01-06
17,62,0,0,1673042133,0.0,100,38,0,,U3-23APR-T3.7,greater,,3.7,,3.8% or higher,finalized,2023-01-06 21:55:33,2023-01-06
18,60,0,0,1673042133,0.0,100,40,0,,U3-23APR-T3.7,greater,,3.7,,3.8% or higher,finalized,2023-01-06 21:55:33,2023-01-06
19,60,51,0,1673042133,0.0,49,40,0,,U3-23APR-T3.7,greater,,3.7,,3.8% or higher,finalized,2023-01-06 21:55:33,2023-01-06
20,60,53,0,1673042133,0.0,47,40,0,,U3-23APR-T3.7,greater,,3.7,,3.8% or higher,finalized,2023-01-06 21:55:33,2023-01-06
21,60,55,0,1673042133,0.0,45,40,0,,U3-23APR-T3.7,greater,,3.7,,3.8% or higher,finalized,2023-01-06 21:55:33,2023-01-06
22,76,69,0,1673042133,0.0,31,24,0,,U3-23APR-T3.8,greater,,3.8,,3.9% or higher,finalized,2023-01-06 21:55:33,2023-01-06
