,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,87,0,0,1673042132,0.0,100,13,0,,U3-23MAR-T3.8,greater,,3.8,,3.9% or higher,finalized,2023-01-06 21:55:32,2023-01-06
1,87,79,0,1673042132,0.0,21,13,0,,U3-23MAR-T3.8,greater,,3.8,,3.9% or higher,finalized,2023-01-06 21:55:32,2023-01-06
2,100,89,0,1673042132,0.0,11,0,0,,U3-23MAR-T3.9,greater,,3.9,,4.0% or higher,finalized,2023-01-06 21:55:32,2023-01-06
3,100,97,0,1673042132,0.0,3,0,0,,U3-23MAR-T4.1,greater,,4.099999,,4.2% or higher,finalized,2023-01-06 21:55:32,2023-01-06
4,100,96,0,1673042132,0.0,4,0,0,,U3-23MAR-T4.4,greater,,4.4,,4.5% or higher,finalized,2023-01-06 21:55:32,2023-01-06
5,100,97,0,1673042132,0.0,3,0,0,,U3-23MAR-T4.4,greater,,4.4,,4.5% or higher,finalized,2023-01-06 21:55:32,2023-01-06
6,100,98,0,1673042132,0.0,2,0,0,,U3-23MAR-T4.5,greater,,4.5,,4.6% or higher,finalized,2023-01-06 21:55:32,2023-01-06
7,100,97,0,1673042132,0.0,3,0,0,,U3-23MAR-T4.7,greater,,4.7,,4.8% or higher,finalized,2023-01-06 21:55:32,2023-01-06
8,57,0,0,1673042133,0.0,100,43,0,,U3-23MAR-T3.6,greater,,3.6,,3.7% or higher,finalized,2023-01-06 21:55:33,2023-01-06
9,57,45,0,1673042133,0.0,55,43,0,,U3-23MAR-T3.6,greater,,3.6,,3.7% or higher,finalized,2023-01-06 21:55:33,2023-01-06
10,70,0,0,1673042133,0.0,100,30,0,,U3-23MAR-T3.7,greater,,3.7,,3.8% or higher,finalized,2023-01-06 21:55:33,2023-01-06
11,70,64,0,1673042133,0.0,36,30,0,,U3-23MAR-T3.7,greater,,3.7,,3.8% or higher,finalized,2023-01-06 21:55:33,2023-01-06
12,84,79,0,1673042133,0.0,21,16,0,,U3-23MAR-T3.8,greater,,3.8,,3.9% or higher,finalized,2023-01-06 21:55:33,2023-01-06
13,94,89,0,1673042133,0.0,11,6,0,,U3-23MAR-T3.9,greater,,3.9,,4.0% or higher,finalized,2023-01-06 21:55:33,2023-01-06
14,100,96,0,1673042133,0.0,4,0,0,,U3-23MAR-T4.2,greater,,4.2,,4.3% or higher,finalized,2023-01-06 21:55:33,2023-01-06
15,100,98,0,1673042133,0.0,2,0,0,,U3-23MAR-T4.7,greater,,4.7,,4.8% or higher,finalized,2023-01-06 21:55:33,2023-01-06
16,100,96,0,1673042133,0.0,4,0,0,,U3-23MAR-T4.8,greater,,4.8,,4.9% or higher,finalized,2023-01-06 21:55:33,2023-01-06
17,100,97,0,1673042133,0.0,3,0,0,,U3-23MAR-T4.8,greater,,4.8,,4.9% or higher,finalized,2023-01-06 21:55:33,2023-01-06
18,100,98,0,1673042133,0.0,2,0,0,,U3-23MAR-T4.8,greater,,4.8,,4.9% or higher,finalized,2023-01-06 21:55:33,2023-01-06
19,100,98,0,1673042133,0.0,2,0,0,,U3-23MAR-T4.9,greater,,4.9,,5.0% or higher,finalized,2023-01-06 21:55:33,2023-01-06
20,57,47,0,1673042134,0.0,53,43,0,,U3-23MAR-T3.6,greater,,3.6,,3.7% or higher,finalized,2023-01-06 21:55:34,2023-01-06
21,53,47,0,1673042134,0.0,53,47,0,,U3-23MAR-T3.6,greater,,3.6,,3.7% or higher,finalized,2023-01-06 21:55:34,2023-01-06
22,100,92,0,1673042134,0.0,8,0,0,,U3-23MAR-T4.0,greater,,4.0,,4.1% or higher,finalized,2023-01-06 21:55:34,2023-01-06
23,100,94,0,1673042134,0.0,6,0,0,,U3-23MAR-T4.0,greater,,4.0,,4.1% or higher,finalized,2023-01-06 21:55:34,2023-01-06
24,99,94,0,1673042134,0.0,6,1,0,,U3-23MAR-T4.0,greater,,4.0,,4.1% or higher,finalized,2023-01-06 21:55:34,2023-01-06
25,100,97,0,1673042134,0.0,3,0,0,,U3-23MAR-T4.3,greater,,4.3,,4.4% or higher,finalized,2023-01-06 21:55:34,2023-01-06
26,100,98,0,1673042134,0.0,2,0,0,,U3-23MAR-T4.3,greater,,4.3,,4.4% or higher,finalized,2023-01-06 21:55:34,2023-01-06
27,100,97,0,1673042134,0.0,3,0,0,,U3-23MAR-T4.6,greater,,4.6,,4.7% or higher,finalized,2023-01-06 21:55:34,2023-01-06
28,100,98,0,1673042134,0.0,2,0,0,,U3-23MAR-T4.6,greater,,4.6,,4.7% or higher,finalized,2023-01-06 21:55:34,2023-01-06
29,38,0,0,1673042135,0.0,100,62,0,,U3-23MAR-T3.5,greater,,3.5,,3.6% or higher,finalized,2023-01-06 21:55:35,2023-01-06
30,98,94,0,1673042135,0.0,6,2,0,,U3-23MAR-T4.0,greater,,4.0,,4.1% or higher,finalized,2023-01-06 21:55:35,2023-01-06
31,100,98,0,1673042135,0.0,2,0,0,,U3-23MAR-T4.2,greater,,4.2,,4.3% or higher,finalized,2023-01-06 21:55:35,2023-01-06
32,100,98,0,1673042136,0.0,2,0,0,,U3-23MAR-T4.4,greater,,4.4,,4.5% or higher,finalized,2023-01-06 21:55:36,2023-01-06
33,38,26,0,1673042137,0.0,74,62,0,,U3-23MAR-T3.5,greater,,3.5,,3.6% or higher,finalized,2023-01-06 21:55:37,2023-01-06
34,38,28,0,1673042137,0.0,72,62,0,,U3-23MAR-T3.5,greater,,3.5,,3.6% or higher,finalized,2023-01-06 21:55:37,2023-01-06
35,38,30,0,1673042137,0.0,70,62,0,,U3-23MAR-T3.5,greater,,3.5,,3.6% or higher,finalized,2023-01-06 21:55:37,2023-01-06
36,36,30,0,1673042138,0.0,70,64,0,,U3-23MAR-T3.5,greater,,3.5,,3.6% or higher,finalized,2023-01-06 21:55:38,2023-01-06
37,93,89,0,1673042138,0.0,11,7,0,,U3-23MAR-T3.9,greater,,3.9,,4.0% or higher,finalized,2023-01-06 21:55:38,2023-01-06
