,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,70,0,0,1672515630,0.0,100,30,0,,U3-23MAY-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-31 19:40:30,2022-12-31
1,100,95,0,1673042132,0.0,5,0,0,,U3-23MAY-T4.3,greater,,4.3,,4.4% or higher,active,2023-01-06 21:55:32,2023-01-06
2,100,96,0,1673042132,0.0,4,0,0,,U3-23MAY-T4.9,greater,,4.9,,5.0% or higher,active,2023-01-06 21:55:32,2023-01-06
3,31,0,0,1673042133,0.0,100,69,0,,U3-23MAY-T3.5,greater,,3.5,,3.6% or higher,active,2023-01-06 21:55:33,2023-01-06
4,29,0,0,1673042133,0.0,100,71,0,,U3-23MAY-T3.5,greater,,3.5,,3.6% or higher,active,2023-01-06 21:55:33,2023-01-06
5,70,43,0,1673042133,0.0,57,30,0,,U3-23MAY-T3.7,greater,,3.7,,3.8% or higher,active,2023-01-06 21:55:33,2023-01-06
6,66,0,0,1673042133,0.0,100,34,0,,U3-23MAY-T3.8,greater,,3.8,,3.9% or higher,active,2023-01-06 21:55:33,2023-01-06
7,78,0,0,1673042133,0.0,100,22,0,,U3-23MAY-T3.9,greater,,3.9,,4.0% or higher,active,2023-01-06 21:55:33,2023-01-06
8,78,71,0,1673042133,0.0,29,22,0,,U3-23MAY-T3.9,greater,,3.9,,4.0% or higher,active,2023-01-06 21:55:33,2023-01-06
9,94,0,0,1673042133,0.0,100,6,0,,U3-23MAY-T4.1,greater,,4.099999,,4.2% or higher,active,2023-01-06 21:55:33,2023-01-06
10,94,89,0,1673042133,0.0,11,6,0,,U3-23MAY-T4.1,greater,,4.099999,,4.2% or higher,active,2023-01-06 21:55:33,2023-01-06
11,94,90,0,1673042133,0.0,10,6,0,,U3-23MAY-T4.1,greater,,4.099999,,4.2% or higher,active,2023-01-06 21:55:33,2023-01-06
12,100,92,0,1673042133,0.0,8,0,0,,U3-23MAY-T4.2,greater,,4.2,,4.3% or higher,active,2023-01-06 21:55:33,2023-01-06
13,100,94,0,1673042133,0.0,6,0,0,,U3-23MAY-T4.2,greater,,4.2,,4.3% or higher,active,2023-01-06 21:55:33,2023-01-06
14,100,97,0,1673042133,0.0,3,0,0,,U3-23MAY-T4.9,greater,,4.9,,5.0% or higher,active,2023-01-06 21:55:33,2023-01-06
15,100,98,0,1673042133,0.0,2,0,0,,U3-23MAY-T4.9,greater,,4.9,,5.0% or higher,active,2023-01-06 21:55:33,2023-01-06
16,29,18,0,1673042134,0.0,82,71,0,,U3-23MAY-T3.5,greater,,3.5,,3.6% or higher,active,2023-01-06 21:55:34,2023-01-06
17,100,32,0,1673042134,0.0,68,0,0,,U3-23MAY-T3.6,greater,,3.6,,3.7% or higher,active,2023-01-06 21:55:34,2023-01-06
18,100,34,0,1673042134,0.0,66,0,0,,U3-23MAY-T3.6,greater,,3.6,,3.7% or higher,active,2023-01-06 21:55:34,2023-01-06
19,57,43,0,1673042134,0.0,57,43,0,,U3-23MAY-T3.7,greater,,3.7,,3.8% or higher,active,2023-01-06 21:55:34,2023-01-06
20,78,73,0,1673042134,0.0,27,22,0,,U3-23MAY-T3.9,greater,,3.9,,4.0% or higher,active,2023-01-06 21:55:34,2023-01-06
21,100,98,0,1673042134,0.0,2,0,0,,U3-23MAY-T4.6,greater,,4.6,,4.7% or higher,active,2023-01-06 21:55:34,2023-01-06
22,100,97,0,1673042134,0.0,3,0,0,,U3-23MAY-T4.7,greater,,4.7,,4.8% or higher,active,2023-01-06 21:55:34,2023-01-06
23,29,20,0,1673042135,0.0,80,71,0,,U3-23MAY-T3.5,greater,,3.5,,3.6% or higher,active,2023-01-06 21:55:35,2023-01-06
24,41,34,0,1673042135,0.0,66,59,0,,U3-23MAY-T3.6,greater,,3.6,,3.7% or higher,active,2023-01-06 21:55:35,2023-01-06
25,53,43,0,1673042135,0.0,57,47,0,,U3-23MAY-T3.7,greater,,3.7,,3.8% or higher,active,2023-01-06 21:55:35,2023-01-06
26,66,61,0,1673042135,0.0,39,34,0,,U3-23MAY-T3.8,greater,,3.8,,3.9% or higher,active,2023-01-06 21:55:35,2023-01-06
27,100,81,0,1673042135,0.0,19,0,0,,U3-23MAY-T4.0,greater,,4.0,,4.1% or higher,active,2023-01-06 21:55:35,2023-01-06
28,99,94,0,1673042135,0.0,6,1,0,,U3-23MAY-T4.2,greater,,4.2,,4.3% or higher,active,2023-01-06 21:55:35,2023-01-06
29,98,94,0,1673042135,0.0,6,2,0,,U3-23MAY-T4.2,greater,,4.2,,4.3% or higher,active,2023-01-06 21:55:35,2023-01-06
30,97,94,0,1673042135,0.0,6,3,0,,U3-23MAY-T4.2,greater,,4.2,,4.3% or higher,active,2023-01-06 21:55:35,2023-01-06
31,100,98,0,1673042135,0.0,2,0,0,,U3-23MAY-T4.4,greater,,4.4,,4.5% or higher,active,2023-01-06 21:55:35,2023-01-06
32,100,98,0,1673042135,0.0,2,0,0,,U3-23MAY-T4.7,greater,,4.7,,4.8% or higher,active,2023-01-06 21:55:35,2023-01-06
