,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,39,0,0,1673042132,0.0,100,61,0,,U3-23SEP-T3.8,greater,,3.8,,3.9% or higher,active,2023-01-06 21:55:32,2023-01-06
1,100,61,0,1673042132,0.0,39,0,0,,U3-23SEP-T4.0,greater,,4.0,,4.1% or higher,active,2023-01-06 21:55:32,2023-01-06
2,100,96,0,1673042132,0.0,4,0,0,,U3-23SEP-T4.8,greater,,4.8,,4.9% or higher,active,2023-01-06 21:55:32,2023-01-06
3,100,11,0,1673042133,0.0,89,0,0,,U3-23SEP-T3.6,greater,,3.6,,3.7% or higher,active,2023-01-06 21:55:33,2023-01-06
4,100,20,0,1673042133,0.0,80,0,0,,U3-23SEP-T3.7,greater,,3.7,,3.8% or higher,active,2023-01-06 21:55:33,2023-01-06
5,68,61,0,1673042133,0.0,39,32,0,,U3-23SEP-T4.0,greater,,4.0,,4.1% or higher,active,2023-01-06 21:55:33,2023-01-06
6,78,0,0,1673042133,0.0,100,22,0,,U3-23SEP-T4.1,greater,,4.099999,,4.2% or higher,active,2023-01-06 21:55:33,2023-01-06
7,100,79,0,1673042133,0.0,21,0,0,,U3-23SEP-T4.2,greater,,4.2,,4.3% or higher,active,2023-01-06 21:55:33,2023-01-06
8,100,95,0,1673042133,0.0,5,0,0,,U3-23SEP-T4.5,greater,,4.5,,4.6% or higher,active,2023-01-06 21:55:33,2023-01-06
9,11,0,0,1673042134,0.0,100,89,0,,U3-23SEP-T3.5,greater,,3.5,,3.6% or higher,active,2023-01-06 21:55:34,2023-01-06
10,100,12,0,1673042134,0.0,88,0,0,,U3-23SEP-T3.6,greater,,3.6,,3.7% or higher,active,2023-01-06 21:55:34,2023-01-06
11,100,13,0,1673042134,0.0,87,0,0,,U3-23SEP-T3.6,greater,,3.6,,3.7% or higher,active,2023-01-06 21:55:34,2023-01-06
