,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,91,0,0,1660305699,0.0,100,9,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:01:39,2022-08-12
1,91,85,0,1660305699,0.0,15,9,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:01:39,2022-08-12
2,90,85,0,1660305699,0.0,15,10,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:01:39,2022-08-12
3,90,85,0,1660305699,0.0,15,10,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:01:39,2022-08-12
4,90,85,0,1660305699,0.0,15,10,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:01:39,2022-08-12
5,100,80,0,1660305699,0.0,20,0,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:01:39,2022-08-12
6,88,80,0,1660305699,0.0,20,12,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:01:39,2022-08-12
7,90,86,0,1660305700,0.0,14,10,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:01:40,2022-08-12
8,88,82,0,1660305700,0.0,18,12,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:01:40,2022-08-12
9,86,82,0,1660305700,0.0,18,14,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:01:40,2022-08-12
10,86,82,0,1660305700,0.0,18,14,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:01:40,2022-08-12
11,86,82,0,1660305700,0.0,18,14,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:01:40,2022-08-12
12,100,98,0,1660305701,0.0,2,0,0,,USDJPY-22AUG12--10-B131.750,between,131.999,131.5,,131.500-131.999,finalized,2022-08-12 12:01:41,2022-08-12
13,100,98,0,1660305701,0.0,2,0,0,,USDJPY-22AUG12--10-B131.750,between,131.999,131.5,,131.500-131.999,finalized,2022-08-12 12:01:41,2022-08-12
14,100,98,0,1660305701,0.0,2,0,0,,USDJPY-22AUG12--10-B132.250,between,132.499,132.0,,132.000-132.499,finalized,2022-08-12 12:01:41,2022-08-12
15,100,98,0,1660305701,0.0,2,0,0,,USDJPY-22AUG12--10-B132.250,between,132.499,132.0,,132.000-132.499,finalized,2022-08-12 12:01:41,2022-08-12
16,100,96,0,1660305701,0.0,4,0,0,,USDJPY-22AUG12--10-B132.750,between,132.999,132.5,,132.500-132.999,finalized,2022-08-12 12:01:41,2022-08-12
17,100,96,0,1660305701,0.0,4,0,0,,USDJPY-22AUG12--10-B132.750,between,132.999,132.5,,132.500-132.999,finalized,2022-08-12 12:01:41,2022-08-12
18,100,28,0,1660305701,0.0,72,0,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:01:41,2022-08-12
19,100,29,0,1660305701,0.0,71,0,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:01:41,2022-08-12
20,100,98,0,1660305701,0.0,2,0,0,,USDJPY-22AUG12--10-T131.500,less,131.5,,,<131.500,finalized,2022-08-12 12:01:41,2022-08-12
21,100,98,0,1660305701,0.0,2,0,0,,USDJPY-22AUG12--10-T131.500,less,131.5,,,<131.500,finalized,2022-08-12 12:01:41,2022-08-12
22,100,98,0,1660305701,0.0,2,0,0,,USDJPY-22AUG12--10-T131.500,less,131.5,,,<131.500,finalized,2022-08-12 12:01:41,2022-08-12
23,100,98,0,1660305702,0.0,2,0,0,,USDJPY-22AUG12--10-B131.750,between,131.999,131.5,,131.500-131.999,finalized,2022-08-12 12:01:42,2022-08-12
24,100,98,0,1660305702,0.0,2,0,0,,USDJPY-22AUG12--10-B132.250,between,132.499,132.0,,132.000-132.499,finalized,2022-08-12 12:01:42,2022-08-12
25,100,97,0,1660305702,0.0,3,0,0,,USDJPY-22AUG12--10-B132.750,between,132.999,132.5,,132.500-132.999,finalized,2022-08-12 12:01:42,2022-08-12
26,33,29,0,1660305702,0.0,71,67,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:01:42,2022-08-12
27,33,29,0,1660305702,0.0,71,67,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:01:42,2022-08-12
28,33,29,0,1660305702,0.0,71,67,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:01:42,2022-08-12
29,33,29,0,1660305702,0.0,71,67,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:01:42,2022-08-12
30,90,86,0,1660305830,0.0,14,10,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:03:50,2022-08-12
31,90,86,0,1660305830,0.0,14,10,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:03:50,2022-08-12
32,90,86,0,1660305830,0.0,14,10,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:03:50,2022-08-12
33,90,86,0,1660305830,0.0,14,10,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:03:50,2022-08-12
34,90,86,0,1660305830,0.0,14,10,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:03:50,2022-08-12
35,90,84,0,1660305830,0.0,16,10,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:03:50,2022-08-12
36,91,84,0,1660305830,0.0,16,9,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:03:50,2022-08-12
37,93,84,0,1660305830,0.0,16,7,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:03:50,2022-08-12
38,93,0,0,1660305830,0.0,100,7,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:03:50,2022-08-12
39,93,90,0,1660305830,0.0,10,7,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:03:50,2022-08-12
40,33,29,0,1660305830,0.0,71,67,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:03:50,2022-08-12
41,33,29,0,1660305830,0.0,71,67,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:03:50,2022-08-12
42,35,29,0,1660305830,0.0,71,65,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:03:50,2022-08-12
43,86,82,0,1660305830,0.0,18,14,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:03:50,2022-08-12
44,86,82,0,1660305830,0.0,18,14,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:03:50,2022-08-12
45,83,82,0,1660305830,0.0,18,17,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:03:50,2022-08-12
46,83,82,0,1660305830,0.0,18,17,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:03:50,2022-08-12
47,83,82,0,1660305830,0.0,18,17,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:03:50,2022-08-12
48,83,82,0,1660305830,0.0,18,17,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:03:50,2022-08-12
49,83,82,0,1660305830,0.0,18,17,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:03:50,2022-08-12
50,83,82,0,1660305830,0.0,18,17,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:03:50,2022-08-12
51,83,81,0,1660305830,0.0,19,17,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:03:50,2022-08-12
52,83,81,0,1660305830,0.0,19,17,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:03:50,2022-08-12
53,83,81,0,1660305830,0.0,19,17,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:03:50,2022-08-12
54,83,77,0,1660305830,0.0,23,17,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:03:50,2022-08-12
55,35,29,0,1660305831,0.0,71,65,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:03:51,2022-08-12
56,35,30,0,1660305831,0.0,70,65,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:03:51,2022-08-12
57,35,30,0,1660305831,0.0,70,65,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:03:51,2022-08-12
58,100,98,0,1660305832,0.0,2,0,0,,USDJPY-22AUG12--10-B132.250,between,132.499,132.0,,132.000-132.499,finalized,2022-08-12 12:03:52,2022-08-12
59,100,97,0,1660305832,0.0,3,0,0,,USDJPY-22AUG12--10-B132.750,between,132.999,132.5,,132.500-132.999,finalized,2022-08-12 12:03:52,2022-08-12
60,93,90,0,1660305832,0.0,10,7,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:03:52,2022-08-12
61,93,90,0,1660305832,0.0,10,7,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:03:52,2022-08-12
62,35,30,0,1660305832,0.0,70,65,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:03:52,2022-08-12
63,82,77,0,1660305877,0.0,23,18,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:04:37,2022-08-12
64,81,77,0,1660305877,0.0,23,19,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:04:37,2022-08-12
65,100,98,0,1660306011,0.0,2,0,0,,USDJPY-22AUG12--10-B132.250,between,132.499,132.0,,132.000-132.499,finalized,2022-08-12 12:06:51,2022-08-12
66,35,30,0,1660306011,0.0,70,65,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:06:51,2022-08-12
67,34,30,0,1660306011,0.0,70,66,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:06:51,2022-08-12
68,93,89,0,1660306065,0.0,11,7,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:07:45,2022-08-12
69,100,98,0,1660306066,0.0,2,0,0,,USDJPY-22AUG12--10-B131.750,between,131.999,131.5,,131.500-131.999,finalized,2022-08-12 12:07:46,2022-08-12
70,100,98,0,1660306066,0.0,2,0,0,,USDJPY-22AUG12--10-B131.750,between,131.999,131.5,,131.500-131.999,finalized,2022-08-12 12:07:46,2022-08-12
71,100,97,0,1660306066,0.0,3,0,0,,USDJPY-22AUG12--10-B132.750,between,132.999,132.5,,132.500-132.999,finalized,2022-08-12 12:07:46,2022-08-12
72,93,89,0,1660306066,0.0,11,7,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:07:46,2022-08-12
73,93,89,0,1660306066,0.0,11,7,0,,USDJPY-22AUG12--10-B133.250,between,133.499,133.0,,133.000-133.499,finalized,2022-08-12 12:07:46,2022-08-12
74,34,30,0,1660306066,0.0,70,66,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:07:46,2022-08-12
75,34,29,0,1660306066,0.0,71,66,0,,USDJPY-22AUG12--10-B133.750,between,134.0,133.5,,133.500-134.000,finalized,2022-08-12 12:07:46,2022-08-12
76,100,98,0,1660306066,0.0,2,0,0,,USDJPY-22AUG12--10-T131.500,less,131.5,,,<131.500,finalized,2022-08-12 12:07:46,2022-08-12
77,81,77,0,1660306066,0.0,23,19,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:07:46,2022-08-12
78,82,77,0,1660306066,0.0,23,18,0,,USDJPY-22AUG12--10-T134.000,greater,,134.0,,>134.000,finalized,2022-08-12 12:07:46,2022-08-12
