,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,82,0,1670857926,0.0,18,0,0,,USDJPY-22DEC1218-136.500,less,136.499,,,136.499 or lower,finalized,2022-12-12 15:12:06,2022-12-12
1,100,83,0,1670857926,0.0,17,0,0,,USDJPY-22DEC1218-136.625,between,136.749,136.5,,136.5 to 136.749,finalized,2022-12-12 15:12:06,2022-12-12
2,89,0,0,1670857926,0.0,100,11,0,,USDJPY-22DEC1218-137.125,between,137.249,137.0,,137 to 137.249,finalized,2022-12-12 15:12:06,2022-12-12
3,97,0,0,1670857926,0.0,100,3,0,,USDJPY-22DEC1218-137.625,between,137.749,137.5,,137.5 to 137.749,finalized,2022-12-12 15:12:06,2022-12-12
4,89,56,0,1670857927,0.0,44,11,0,,USDJPY-22DEC1218-137.125,between,137.249,137.0,,137 to 137.249,finalized,2022-12-12 15:12:07,2022-12-12
5,97,80,0,1670857927,0.0,20,3,0,,USDJPY-22DEC1218-137.625,between,137.749,137.5,,137.5 to 137.749,finalized,2022-12-12 15:12:07,2022-12-12
6,91,0,0,1670857928,0.0,100,9,0,,USDJPY-22DEC1218-136.875,between,136.999,136.75,,136.75 to 136.999,finalized,2022-12-12 15:12:08,2022-12-12
7,91,75,0,1670857929,0.0,25,9,0,,USDJPY-22DEC1218-136.875,between,136.999,136.75,,136.75 to 136.999,finalized,2022-12-12 15:12:09,2022-12-12
8,90,0,0,1670857929,0.0,100,10,0,,USDJPY-22DEC1218-137.375,between,137.499,137.25,,137.25 to 137.499,finalized,2022-12-12 15:12:09,2022-12-12
9,100,77,0,1670857929,0.0,23,0,0,,USDJPY-22DEC1218-137.749,greater,,137.75,,137.75 or higher,finalized,2022-12-12 15:12:09,2022-12-12
10,90,64,0,1670857930,0.0,36,10,0,,USDJPY-22DEC1218-137.375,between,137.499,137.25,,137.25 to 137.499,finalized,2022-12-12 15:12:10,2022-12-12
11,91,69,0,1670858012,0.0,31,9,0,,USDJPY-22DEC1218-136.875,between,136.999,136.75,,136.75 to 136.999,finalized,2022-12-12 15:13:32,2022-12-12
12,99,77,0,1670858210,0.0,23,1,0,,USDJPY-22DEC1218-137.749,greater,,137.75,,137.75 or higher,finalized,2022-12-12 15:16:50,2022-12-12
13,100,92,0,1670858211,0.0,8,0,0,,USDJPY-22DEC1218-136.500,less,136.499,,,136.499 or lower,finalized,2022-12-12 15:16:51,2022-12-12
14,99,92,0,1670858211,0.0,8,1,0,,USDJPY-22DEC1218-136.500,less,136.499,,,136.499 or lower,finalized,2022-12-12 15:16:51,2022-12-12
15,99,93,0,1670858211,0.0,7,1,0,,USDJPY-22DEC1218-136.500,less,136.499,,,136.499 or lower,finalized,2022-12-12 15:16:51,2022-12-12
16,98,93,0,1670858211,0.0,7,2,0,,USDJPY-22DEC1218-136.500,less,136.499,,,136.499 or lower,finalized,2022-12-12 15:16:51,2022-12-12
17,97,93,0,1670858211,0.0,7,3,0,,USDJPY-22DEC1218-136.500,less,136.499,,,136.499 or lower,finalized,2022-12-12 15:16:51,2022-12-12
18,97,94,0,1670858211,0.0,6,3,0,,USDJPY-22DEC1218-136.500,less,136.499,,,136.499 or lower,finalized,2022-12-12 15:16:51,2022-12-12
19,100,88,0,1670858211,0.0,12,0,0,,USDJPY-22DEC1218-136.625,between,136.749,136.5,,136.5 to 136.749,finalized,2022-12-12 15:16:51,2022-12-12
20,93,88,0,1670858211,0.0,12,7,0,,USDJPY-22DEC1218-136.625,between,136.749,136.5,,136.5 to 136.749,finalized,2022-12-12 15:16:51,2022-12-12
21,93,89,0,1670858211,0.0,11,7,0,,USDJPY-22DEC1218-136.625,between,136.749,136.5,,136.5 to 136.749,finalized,2022-12-12 15:16:51,2022-12-12
22,91,75,0,1670858211,0.0,25,9,0,,USDJPY-22DEC1218-136.875,between,136.999,136.75,,136.75 to 136.999,finalized,2022-12-12 15:16:51,2022-12-12
23,91,77,0,1670858211,0.0,23,9,0,,USDJPY-22DEC1218-136.875,between,136.999,136.75,,136.75 to 136.999,finalized,2022-12-12 15:16:51,2022-12-12
24,86,77,0,1670858211,0.0,23,14,0,,USDJPY-22DEC1218-136.875,between,136.999,136.75,,136.75 to 136.999,finalized,2022-12-12 15:16:51,2022-12-12
25,84,77,0,1670858211,0.0,23,16,0,,USDJPY-22DEC1218-136.875,between,136.999,136.75,,136.75 to 136.999,finalized,2022-12-12 15:16:51,2022-12-12
26,89,68,0,1670858211,0.0,32,11,0,,USDJPY-22DEC1218-137.125,between,137.249,137.0,,137 to 137.249,finalized,2022-12-12 15:16:51,2022-12-12
27,75,68,0,1670858211,0.0,32,25,0,,USDJPY-22DEC1218-137.125,between,137.249,137.0,,137 to 137.249,finalized,2022-12-12 15:16:51,2022-12-12
28,73,68,0,1670858211,0.0,32,27,0,,USDJPY-22DEC1218-137.125,between,137.249,137.0,,137 to 137.249,finalized,2022-12-12 15:16:51,2022-12-12
29,82,64,0,1670858211,0.0,36,18,0,,USDJPY-22DEC1218-137.375,between,137.499,137.25,,137.25 to 137.499,finalized,2022-12-12 15:16:51,2022-12-12
30,82,73,0,1670858211,0.0,27,18,0,,USDJPY-22DEC1218-137.375,between,137.499,137.25,,137.25 to 137.499,finalized,2022-12-12 15:16:51,2022-12-12
31,82,75,0,1670858211,0.0,25,18,0,,USDJPY-22DEC1218-137.375,between,137.499,137.25,,137.25 to 137.499,finalized,2022-12-12 15:16:51,2022-12-12
32,80,75,0,1670858211,0.0,25,20,0,,USDJPY-22DEC1218-137.375,between,137.499,137.25,,137.25 to 137.499,finalized,2022-12-12 15:16:51,2022-12-12
33,92,80,0,1670858211,0.0,20,8,0,,USDJPY-22DEC1218-137.625,between,137.749,137.5,,137.5 to 137.749,finalized,2022-12-12 15:16:51,2022-12-12
34,92,88,0,1670858211,0.0,12,8,0,,USDJPY-22DEC1218-137.625,between,137.749,137.5,,137.5 to 137.749,finalized,2022-12-12 15:16:51,2022-12-12
35,99,91,0,1670858211,0.0,9,1,0,,USDJPY-22DEC1218-137.749,greater,,137.75,,137.75 or higher,finalized,2022-12-12 15:16:51,2022-12-12
36,99,92,0,1670858211,0.0,8,1,0,,USDJPY-22DEC1218-137.749,greater,,137.75,,137.75 or higher,finalized,2022-12-12 15:16:51,2022-12-12
37,99,93,0,1670858211,0.0,7,1,0,,USDJPY-22DEC1218-137.749,greater,,137.75,,137.75 or higher,finalized,2022-12-12 15:16:51,2022-12-12
38,97,93,0,1670858211,0.0,7,3,0,,USDJPY-22DEC1218-137.749,greater,,137.75,,137.75 or higher,finalized,2022-12-12 15:16:51,2022-12-12
39,82,77,0,1670858213,0.0,23,18,0,,USDJPY-22DEC1218-136.875,between,136.999,136.75,,136.75 to 136.999,finalized,2022-12-12 15:16:53,2022-12-12
40,98,94,0,1670858241,0.0,6,2,0,,USDJPY-22DEC1218-136.500,less,136.499,,,136.499 or lower,finalized,2022-12-12 15:17:21,2022-12-12
41,94,89,0,1670858241,0.0,11,6,0,,USDJPY-22DEC1218-136.625,between,136.749,136.5,,136.5 to 136.749,finalized,2022-12-12 15:17:21,2022-12-12
42,82,74,0,1670858241,0.0,26,18,0,,USDJPY-22DEC1218-136.875,between,136.999,136.75,,136.75 to 136.999,finalized,2022-12-12 15:17:21,2022-12-12
43,82,76,0,1670858241,0.0,24,18,0,,USDJPY-22DEC1218-136.875,between,136.999,136.75,,136.75 to 136.999,finalized,2022-12-12 15:17:21,2022-12-12
44,83,76,0,1670858241,0.0,24,17,0,,USDJPY-22DEC1218-136.875,between,136.999,136.75,,136.75 to 136.999,finalized,2022-12-12 15:17:21,2022-12-12
45,79,75,0,1670858241,0.0,25,21,0,,USDJPY-22DEC1218-137.375,between,137.499,137.25,,137.25 to 137.499,finalized,2022-12-12 15:17:21,2022-12-12
46,92,87,0,1670858241,0.0,13,8,0,,USDJPY-22DEC1218-137.625,between,137.749,137.5,,137.5 to 137.749,finalized,2022-12-12 15:17:21,2022-12-12
47,91,87,0,1670858241,0.0,13,9,0,,USDJPY-22DEC1218-137.625,between,137.749,137.5,,137.5 to 137.749,finalized,2022-12-12 15:17:21,2022-12-12
48,96,93,0,1670858241,0.0,7,4,0,,USDJPY-22DEC1218-137.749,greater,,137.75,,137.75 or higher,finalized,2022-12-12 15:17:21,2022-12-12
49,94,90,0,1670858242,0.0,10,6,0,,USDJPY-22DEC1218-136.625,between,136.749,136.5,,136.5 to 136.749,finalized,2022-12-12 15:17:22,2022-12-12
50,83,78,0,1670858242,0.0,22,17,0,,USDJPY-22DEC1218-136.875,between,136.999,136.75,,136.75 to 136.999,finalized,2022-12-12 15:17:22,2022-12-12
