,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,95,0,0,1668524676,0.0,100,5,0,,USDJPY-22NOV1518-T138.750,less,138.75,,,<138.750,finalized,2022-11-15 15:04:36,2022-11-15
1,95,0,0,1668524681,0.0,100,5,0,,USDJPY-22NOV1518-B138.875,between,138.999,138.75,,138.750-138.999,finalized,2022-11-15 15:04:41,2022-11-15
2,94,0,0,1668524686,0.0,100,6,0,,USDJPY-22NOV1518-B139.125,between,139.249,139.0,,139.000-139.249,finalized,2022-11-15 15:04:46,2022-11-15
3,87,0,0,1668524692,0.0,100,13,0,,USDJPY-22NOV1518-B139.375,between,139.499,139.25,,139.250-139.499,finalized,2022-11-15 15:04:52,2022-11-15
4,86,0,0,1668524699,0.0,100,14,0,,USDJPY-22NOV1518-B139.625,between,139.749,139.5,,139.500-139.749,finalized,2022-11-15 15:04:59,2022-11-15
5,97,0,0,1668524705,0.0,100,3,0,,USDJPY-22NOV1518-B139.875,between,140.0,139.75,,139.750-140.000,finalized,2022-11-15 15:05:05,2022-11-15
6,96,0,0,1668524711,0.0,100,4,0,,USDJPY-22NOV1518-T140.000,greater,,140.0,,>140.000,finalized,2022-11-15 15:05:11,2022-11-15
7,85,0,0,1668525408,0.0,100,15,0,,USDJPY-22NOV1518-B139.375,between,139.499,139.25,,139.250-139.499,finalized,2022-11-15 15:16:48,2022-11-15
8,85,78,0,1668525409,0.0,22,15,0,,USDJPY-22NOV1518-B139.375,between,139.499,139.25,,139.250-139.499,finalized,2022-11-15 15:16:49,2022-11-15
9,95,81,0,1668525410,0.0,19,5,0,,USDJPY-22NOV1518-B138.875,between,138.999,138.75,,138.750-138.999,finalized,2022-11-15 15:16:50,2022-11-15
10,83,0,0,1668525410,0.0,100,17,0,,USDJPY-22NOV1518-B139.125,between,139.249,139.0,,139.000-139.249,finalized,2022-11-15 15:16:50,2022-11-15
11,83,74,0,1668525410,0.0,26,17,0,,USDJPY-22NOV1518-B139.125,between,139.249,139.0,,139.000-139.249,finalized,2022-11-15 15:16:50,2022-11-15
12,86,81,0,1668525410,0.0,19,14,0,,USDJPY-22NOV1518-B139.625,between,139.749,139.5,,139.500-139.749,finalized,2022-11-15 15:16:50,2022-11-15
13,95,0,0,1668525410,0.0,100,5,0,,USDJPY-22NOV1518-B139.875,between,140.0,139.75,,139.750-140.000,finalized,2022-11-15 15:16:50,2022-11-15
14,95,92,0,1668525410,0.0,8,5,0,,USDJPY-22NOV1518-B139.875,between,140.0,139.75,,139.750-140.000,finalized,2022-11-15 15:16:50,2022-11-15
15,95,77,0,1668525410,0.0,23,5,0,,USDJPY-22NOV1518-T138.750,less,138.75,,,<138.750,finalized,2022-11-15 15:16:50,2022-11-15
16,87,77,0,1668525410,0.0,23,13,0,,USDJPY-22NOV1518-T138.750,less,138.75,,,<138.750,finalized,2022-11-15 15:16:50,2022-11-15
17,87,79,0,1668525410,0.0,21,13,0,,USDJPY-22NOV1518-T138.750,less,138.75,,,<138.750,finalized,2022-11-15 15:16:50,2022-11-15
18,84,79,0,1668525410,0.0,21,16,0,,USDJPY-22NOV1518-T138.750,less,138.75,,,<138.750,finalized,2022-11-15 15:16:50,2022-11-15
19,96,91,0,1668525410,0.0,9,4,0,,USDJPY-22NOV1518-T140.000,greater,,140.0,,>140.000,finalized,2022-11-15 15:16:50,2022-11-15
20,86,81,0,1668525411,0.0,19,14,0,,USDJPY-22NOV1518-B138.875,between,138.999,138.75,,138.750-138.999,finalized,2022-11-15 15:16:51,2022-11-15
21,81,74,0,1668525411,0.0,26,19,0,,USDJPY-22NOV1518-B139.125,between,139.249,139.0,,139.000-139.249,finalized,2022-11-15 15:16:51,2022-11-15
22,96,92,0,1668525411,0.0,8,4,0,,USDJPY-22NOV1518-T140.000,greater,,140.0,,>140.000,finalized,2022-11-15 15:16:51,2022-11-15
23,81,76,0,1668525412,0.0,24,19,0,,USDJPY-22NOV1518-B139.125,between,139.249,139.0,,139.000-139.249,finalized,2022-11-15 15:16:52,2022-11-15
