,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,78,0,0,1666879767,0.0,100,22,0,,USDJPY-22OCT2718-T145.500,less,145.5,,,<145.500,finalized,2022-10-27 14:09:27,2022-10-27
1,98,0,0,1666880024,0.0,100,2,0,,USDJPY-22OCT2718-B145.625,between,145.749,145.5,,145.500-145.749,finalized,2022-10-27 14:13:44,2022-10-27
2,83,0,0,1666880032,0.0,100,17,0,,USDJPY-22OCT2718-B145.875,between,145.999,145.75,,145.750-145.999,finalized,2022-10-27 14:13:52,2022-10-27
3,77,0,0,1666880038,0.0,100,23,0,,USDJPY-22OCT2718-B146.125,between,146.249,146.0,,146.000-146.249,finalized,2022-10-27 14:13:58,2022-10-27
4,69,0,0,1666880044,0.0,100,31,0,,USDJPY-22OCT2718-B146.375,between,146.499,146.25,,146.250-146.499,finalized,2022-10-27 14:14:04,2022-10-27
5,96,0,0,1666880050,0.0,100,4,0,,USDJPY-22OCT2718-B146.625,between,146.75,146.5,,146.500-146.750,finalized,2022-10-27 14:14:10,2022-10-27
6,92,0,0,1666880057,0.0,100,8,0,,USDJPY-22OCT2718-T146.750,greater,,146.75,,>146.750,finalized,2022-10-27 14:14:17,2022-10-27
7,85,0,0,1666880254,0.0,100,15,0,,USDJPY-22OCT2718-B145.625,between,145.749,145.5,,145.500-145.749,finalized,2022-10-27 14:17:34,2022-10-27
8,85,79,0,1666880254,0.0,21,15,0,,USDJPY-22OCT2718-B145.625,between,145.749,145.5,,145.500-145.749,finalized,2022-10-27 14:17:34,2022-10-27
9,95,89,2,1666880254,2.0,11,5,31,,USDJPY-22OCT2718-B146.375,between,146.499,146.25,,146.250-146.499,finalized,2022-10-27 14:17:34,2022-10-27
10,93,89,2,1666880254,0.0,11,7,31,,USDJPY-22OCT2718-B146.375,between,146.499,146.25,,146.250-146.499,finalized,2022-10-27 14:17:34,2022-10-27
11,96,91,0,1666880254,0.0,9,4,0,,USDJPY-22OCT2718-B146.625,between,146.75,146.5,,146.500-146.750,finalized,2022-10-27 14:17:34,2022-10-27
12,96,92,0,1666880254,0.0,8,4,0,,USDJPY-22OCT2718-B146.625,between,146.75,146.5,,146.500-146.750,finalized,2022-10-27 14:17:34,2022-10-27
13,96,93,0,1666880254,0.0,7,4,0,,USDJPY-22OCT2718-B146.625,between,146.75,146.5,,146.500-146.750,finalized,2022-10-27 14:17:34,2022-10-27
14,85,81,0,1666880255,0.0,19,15,0,,USDJPY-22OCT2718-B145.625,between,145.749,145.5,,145.500-145.749,finalized,2022-10-27 14:17:35,2022-10-27
15,83,80,0,1666880256,0.0,20,17,0,,USDJPY-22OCT2718-B145.875,between,145.999,145.75,,145.750-145.999,finalized,2022-10-27 14:17:36,2022-10-27
16,88,80,2,1666880256,2.0,20,12,23,,USDJPY-22OCT2718-B146.125,between,146.249,146.0,,146.000-146.249,finalized,2022-10-27 14:17:36,2022-10-27
17,88,82,2,1666880256,0.0,18,12,23,,USDJPY-22OCT2718-B146.125,between,146.249,146.0,,146.000-146.249,finalized,2022-10-27 14:17:36,2022-10-27
18,88,84,2,1666880256,0.0,16,12,23,,USDJPY-22OCT2718-B146.125,between,146.249,146.0,,146.000-146.249,finalized,2022-10-27 14:17:36,2022-10-27
19,76,0,0,1666880256,0.0,100,24,0,,USDJPY-22OCT2718-T145.500,less,145.5,,,<145.500,finalized,2022-10-27 14:17:36,2022-10-27
