,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,82,0,1661984379,0.0,18,0,0,,USDJPY-22SEP01-10-B139.125,between,139.249,139.0,,139.000-139.249,finalized,2022-08-31 22:19:39,2022-08-31
1,100,82,0,1661984379,0.0,18,0,0,,USDJPY-22SEP01-10-B139.125,between,139.249,139.0,,139.000-139.249,finalized,2022-08-31 22:19:39,2022-08-31
2,88,82,0,1661984379,0.0,18,12,0,,USDJPY-22SEP01-10-B139.125,between,139.249,139.0,,139.000-139.249,finalized,2022-08-31 22:19:39,2022-08-31
3,88,82,0,1661984379,0.0,18,12,0,,USDJPY-22SEP01-10-B139.125,between,139.249,139.0,,139.000-139.249,finalized,2022-08-31 22:19:39,2022-08-31
4,87,82,0,1661984379,0.0,18,13,0,,USDJPY-22SEP01-10-B139.125,between,139.249,139.0,,139.000-139.249,finalized,2022-08-31 22:19:39,2022-08-31
5,100,79,0,1661984379,0.0,21,0,0,,USDJPY-22SEP01-10-T138.500,less,138.5,,,<138.500,finalized,2022-08-31 22:19:39,2022-08-31
6,83,79,0,1661984379,0.0,21,17,0,,USDJPY-22SEP01-10-T138.500,less,138.5,,,<138.500,finalized,2022-08-31 22:19:39,2022-08-31
7,83,79,0,1661984379,0.0,21,17,0,,USDJPY-22SEP01-10-T138.500,less,138.5,,,<138.500,finalized,2022-08-31 22:19:39,2022-08-31
8,83,79,0,1661984379,0.0,21,17,0,,USDJPY-22SEP01-10-T138.500,less,138.5,,,<138.500,finalized,2022-08-31 22:19:39,2022-08-31
9,86,82,0,1661984380,0.0,18,14,0,,USDJPY-22SEP01-10-B139.125,between,139.249,139.0,,139.000-139.249,finalized,2022-08-31 22:19:40,2022-08-31
10,93,0,0,1661984380,0.0,100,7,0,,USDJPY-22SEP01-10-B139.625,between,139.75,139.5,,139.500-139.750,finalized,2022-08-31 22:19:40,2022-08-31
11,93,0,0,1661984380,0.0,100,7,0,,USDJPY-22SEP01-10-B139.625,between,139.75,139.5,,139.500-139.750,finalized,2022-08-31 22:19:40,2022-08-31
12,83,79,0,1661984380,0.0,21,17,0,,USDJPY-22SEP01-10-T138.500,less,138.5,,,<138.500,finalized,2022-08-31 22:19:40,2022-08-31
13,83,79,0,1661984380,0.0,21,17,0,,USDJPY-22SEP01-10-T138.500,less,138.5,,,<138.500,finalized,2022-08-31 22:19:40,2022-08-31
14,93,0,0,1661984381,0.0,100,7,0,,USDJPY-22SEP01-10-B138.625,between,138.749,138.5,,138.500-138.749,finalized,2022-08-31 22:19:41,2022-08-31
15,93,87,0,1661984381,0.0,13,7,0,,USDJPY-22SEP01-10-B138.625,between,138.749,138.5,,138.500-138.749,finalized,2022-08-31 22:19:41,2022-08-31
16,93,87,0,1661984381,0.0,13,7,0,,USDJPY-22SEP01-10-B138.625,between,138.749,138.5,,138.500-138.749,finalized,2022-08-31 22:19:41,2022-08-31
17,91,87,0,1661984381,0.0,13,9,0,,USDJPY-22SEP01-10-B138.625,between,138.749,138.5,,138.500-138.749,finalized,2022-08-31 22:19:41,2022-08-31
18,91,87,0,1661984381,0.0,13,9,0,,USDJPY-22SEP01-10-B138.625,between,138.749,138.5,,138.500-138.749,finalized,2022-08-31 22:19:41,2022-08-31
19,91,87,0,1661984381,0.0,13,9,0,,USDJPY-22SEP01-10-B138.625,between,138.749,138.5,,138.500-138.749,finalized,2022-08-31 22:19:41,2022-08-31
20,89,0,0,1661984381,0.0,100,11,0,,USDJPY-22SEP01-10-B138.875,between,138.999,138.75,,138.750-138.999,finalized,2022-08-31 22:19:41,2022-08-31
21,89,0,0,1661984381,0.0,100,11,0,,USDJPY-22SEP01-10-B138.875,between,138.999,138.75,,138.750-138.999,finalized,2022-08-31 22:19:41,2022-08-31
22,88,0,0,1661984381,0.0,100,12,0,,USDJPY-22SEP01-10-B138.875,between,138.999,138.75,,138.750-138.999,finalized,2022-08-31 22:19:41,2022-08-31
23,88,79,0,1661984381,0.0,21,12,0,,USDJPY-22SEP01-10-B138.875,between,138.999,138.75,,138.750-138.999,finalized,2022-08-31 22:19:41,2022-08-31
24,88,83,0,1661984381,0.0,17,12,0,,USDJPY-22SEP01-10-B138.875,between,138.999,138.75,,138.750-138.999,finalized,2022-08-31 22:19:41,2022-08-31
25,93,88,0,1661984381,0.0,12,7,0,,USDJPY-22SEP01-10-B139.625,between,139.75,139.5,,139.500-139.750,finalized,2022-08-31 22:19:41,2022-08-31
26,93,88,0,1661984381,0.0,12,7,0,,USDJPY-22SEP01-10-B139.625,between,139.75,139.5,,139.500-139.750,finalized,2022-08-31 22:19:41,2022-08-31
27,93,88,0,1661984381,0.0,12,7,0,,USDJPY-22SEP01-10-B139.625,between,139.75,139.5,,139.500-139.750,finalized,2022-08-31 22:19:41,2022-08-31
28,92,88,0,1661984381,0.0,12,8,0,,USDJPY-22SEP01-10-B139.625,between,139.75,139.5,,139.500-139.750,finalized,2022-08-31 22:19:41,2022-08-31
29,88,0,0,1661984381,0.0,100,12,0,,USDJPY-22SEP01-10-T139.750,greater,,139.75,,>139.750,finalized,2022-08-31 22:19:41,2022-08-31
30,86,0,0,1661984381,0.0,100,14,0,,USDJPY-22SEP01-10-T139.750,greater,,139.75,,>139.750,finalized,2022-08-31 22:19:41,2022-08-31
31,86,0,0,1661984381,0.0,100,14,0,,USDJPY-22SEP01-10-T139.750,greater,,139.75,,>139.750,finalized,2022-08-31 22:19:41,2022-08-31
32,86,81,0,1661984381,0.0,19,14,0,,USDJPY-22SEP01-10-T139.750,greater,,139.75,,>139.750,finalized,2022-08-31 22:19:41,2022-08-31
33,88,83,0,1661984382,0.0,17,12,0,,USDJPY-22SEP01-10-B138.875,between,138.999,138.75,,138.750-138.999,finalized,2022-08-31 22:19:42,2022-08-31
34,90,0,0,1661984383,0.0,100,10,0,,USDJPY-22SEP01-10-B139.375,between,139.499,139.25,,139.250-139.499,finalized,2022-08-31 22:19:43,2022-08-31
