,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,88,0,0,1663196753,0.0,100,12,0,,USDJPY-22SEP1510-B142.875,between,142.999,142.75,,142.750-142.999,finalized,2022-09-14 23:05:53,2022-09-14
1,88,79,0,1663196753,0.0,21,12,0,,USDJPY-22SEP1510-B142.875,between,142.999,142.75,,142.750-142.999,finalized,2022-09-14 23:05:53,2022-09-14
2,88,81,0,1663196753,0.0,19,12,0,,USDJPY-22SEP1510-B142.875,between,142.999,142.75,,142.750-142.999,finalized,2022-09-14 23:05:53,2022-09-14
3,88,81,0,1663196753,0.0,19,12,0,,USDJPY-22SEP1510-B142.875,between,142.999,142.75,,142.750-142.999,finalized,2022-09-14 23:05:53,2022-09-14
4,88,83,0,1663196753,0.0,17,12,0,,USDJPY-22SEP1510-B142.875,between,142.999,142.75,,142.750-142.999,finalized,2022-09-14 23:05:53,2022-09-14
5,87,83,0,1663196753,0.0,17,13,0,,USDJPY-22SEP1510-B142.875,between,142.999,142.75,,142.750-142.999,finalized,2022-09-14 23:05:53,2022-09-14
6,100,83,0,1663196753,0.0,17,0,0,,USDJPY-22SEP1510-B143.375,between,143.499,143.25,,143.250-143.499,finalized,2022-09-14 23:05:53,2022-09-14
7,100,83,0,1663196753,0.0,17,0,0,,USDJPY-22SEP1510-B143.375,between,143.499,143.25,,143.250-143.499,finalized,2022-09-14 23:05:53,2022-09-14
8,92,83,0,1663196753,0.0,17,8,0,,USDJPY-22SEP1510-B143.375,between,143.499,143.25,,143.250-143.499,finalized,2022-09-14 23:05:53,2022-09-14
9,92,85,0,1663196753,0.0,15,8,0,,USDJPY-22SEP1510-B143.375,between,143.499,143.25,,143.250-143.499,finalized,2022-09-14 23:05:53,2022-09-14
10,91,85,0,1663196753,0.0,15,9,0,,USDJPY-22SEP1510-B143.375,between,143.499,143.25,,143.250-143.499,finalized,2022-09-14 23:05:53,2022-09-14
11,90,85,0,1663196753,0.0,15,10,0,,USDJPY-22SEP1510-B143.375,between,143.499,143.25,,143.250-143.499,finalized,2022-09-14 23:05:53,2022-09-14
12,84,0,0,1663196753,0.0,100,16,0,,USDJPY-22SEP1510-T142.500,less,142.5,,,<142.500,finalized,2022-09-14 23:05:53,2022-09-14
13,90,0,0,1663196753,0.0,100,10,0,,USDJPY-22SEP1510-T143.750,greater,,143.75,,>143.750,finalized,2022-09-14 23:05:53,2022-09-14
14,88,0,0,1663196753,0.0,100,12,0,,USDJPY-22SEP1510-T143.750,greater,,143.75,,>143.750,finalized,2022-09-14 23:05:53,2022-09-14
15,88,84,0,1663196753,0.0,16,12,0,,USDJPY-22SEP1510-T143.750,greater,,143.75,,>143.750,finalized,2022-09-14 23:05:53,2022-09-14
16,88,84,0,1663196753,0.0,16,12,0,,USDJPY-22SEP1510-T143.750,greater,,143.75,,>143.750,finalized,2022-09-14 23:05:53,2022-09-14
17,88,84,0,1663196753,0.0,16,12,0,,USDJPY-22SEP1510-T143.750,greater,,143.75,,>143.750,finalized,2022-09-14 23:05:53,2022-09-14
18,88,84,0,1663196753,0.0,16,12,0,,USDJPY-22SEP1510-T143.750,greater,,143.75,,>143.750,finalized,2022-09-14 23:05:53,2022-09-14
19,82,0,0,1663196799,0.0,100,18,0,,USDJPY-22SEP1510-T142.500,less,142.5,,,<142.500,finalized,2022-09-14 23:06:39,2022-09-14
20,90,0,0,1663196801,0.0,100,10,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:06:41,2022-09-14
21,90,86,0,1663196801,0.0,14,10,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:06:41,2022-09-14
22,90,86,0,1663196801,0.0,14,10,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:06:41,2022-09-14
23,90,86,0,1663196801,0.0,14,10,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:06:41,2022-09-14
24,90,86,0,1663196801,0.0,14,10,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:06:41,2022-09-14
25,90,86,0,1663196801,0.0,14,10,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:06:41,2022-09-14
26,100,81,0,1663196801,0.0,19,0,0,,USDJPY-22SEP1510-B143.125,between,143.249,143.0,,143.000-143.249,finalized,2022-09-14 23:06:41,2022-09-14
27,87,81,0,1663196801,0.0,19,13,0,,USDJPY-22SEP1510-B143.125,between,143.249,143.0,,143.000-143.249,finalized,2022-09-14 23:06:41,2022-09-14
28,87,81,0,1663196801,0.0,19,13,0,,USDJPY-22SEP1510-B143.125,between,143.249,143.0,,143.000-143.249,finalized,2022-09-14 23:06:41,2022-09-14
29,87,81,0,1663196801,0.0,19,13,0,,USDJPY-22SEP1510-B143.125,between,143.249,143.0,,143.000-143.249,finalized,2022-09-14 23:06:41,2022-09-14
30,94,0,0,1663196801,0.0,100,6,0,,USDJPY-22SEP1510-B143.625,between,143.75,143.5,,143.500-143.750,finalized,2022-09-14 23:06:41,2022-09-14
31,93,0,0,1663196801,0.0,100,7,0,,USDJPY-22SEP1510-B143.625,between,143.75,143.5,,143.500-143.750,finalized,2022-09-14 23:06:41,2022-09-14
32,93,89,0,1663196801,0.0,11,7,0,,USDJPY-22SEP1510-B143.625,between,143.75,143.5,,143.500-143.750,finalized,2022-09-14 23:06:41,2022-09-14
33,93,89,0,1663196801,0.0,11,7,0,,USDJPY-22SEP1510-B143.625,between,143.75,143.5,,143.500-143.750,finalized,2022-09-14 23:06:41,2022-09-14
34,93,89,0,1663196801,0.0,11,7,0,,USDJPY-22SEP1510-B143.625,between,143.75,143.5,,143.500-143.750,finalized,2022-09-14 23:06:41,2022-09-14
35,93,89,0,1663196801,0.0,11,7,0,,USDJPY-22SEP1510-B143.625,between,143.75,143.5,,143.500-143.750,finalized,2022-09-14 23:06:41,2022-09-14
36,80,0,0,1663196801,0.0,100,20,0,,USDJPY-22SEP1510-T142.500,less,142.5,,,<142.500,finalized,2022-09-14 23:06:41,2022-09-14
37,80,73,0,1663196801,0.0,27,20,0,,USDJPY-22SEP1510-T142.500,less,142.5,,,<142.500,finalized,2022-09-14 23:06:41,2022-09-14
38,80,73,0,1663196801,0.0,27,20,0,,USDJPY-22SEP1510-T142.500,less,142.5,,,<142.500,finalized,2022-09-14 23:06:41,2022-09-14
39,80,75,0,1663196801,0.0,25,20,0,,USDJPY-22SEP1510-T142.500,less,142.5,,,<142.500,finalized,2022-09-14 23:06:41,2022-09-14
40,87,81,0,1663196802,0.0,19,13,0,,USDJPY-22SEP1510-B143.125,between,143.249,143.0,,143.000-143.249,finalized,2022-09-14 23:06:42,2022-09-14
41,87,83,0,1663196802,0.0,17,13,0,,USDJPY-22SEP1510-B143.125,between,143.249,143.0,,143.000-143.249,finalized,2022-09-14 23:06:42,2022-09-14
42,90,86,0,1663196858,0.0,14,10,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:07:38,2022-09-14
43,90,86,0,1663196858,0.0,14,10,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:07:38,2022-09-14
44,90,86,0,1663196858,0.0,14,10,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:07:38,2022-09-14
45,90,86,0,1663196858,0.0,14,10,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:07:38,2022-09-14
46,90,85,0,1663196979,0.0,15,10,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:09:39,2022-09-14
47,90,85,0,1663196979,0.0,15,10,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:09:39,2022-09-14
48,90,85,0,1663196979,0.0,15,10,0,,USDJPY-22SEP1510-B143.375,between,143.499,143.25,,143.250-143.499,finalized,2022-09-14 23:09:39,2022-09-14
49,90,85,0,1663196979,0.0,15,10,0,,USDJPY-22SEP1510-B143.375,between,143.499,143.25,,143.250-143.499,finalized,2022-09-14 23:09:39,2022-09-14
50,93,89,0,1663196979,0.0,11,7,0,,USDJPY-22SEP1510-B143.625,between,143.75,143.5,,143.500-143.750,finalized,2022-09-14 23:09:39,2022-09-14
51,88,84,0,1663196979,0.0,16,12,0,,USDJPY-22SEP1510-T143.750,greater,,143.75,,>143.750,finalized,2022-09-14 23:09:39,2022-09-14
52,89,85,0,1663196981,0.0,15,11,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:09:41,2022-09-14
53,89,85,0,1663196981,0.0,15,11,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:09:41,2022-09-14
54,89,85,0,1663196981,0.0,15,11,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:09:41,2022-09-14
55,89,85,0,1663196981,0.0,15,11,0,,USDJPY-22SEP1510-B142.625,between,142.749,142.5,,142.500-142.749,finalized,2022-09-14 23:09:41,2022-09-14
56,90,85,0,1663196981,0.0,15,10,0,,USDJPY-22SEP1510-B143.375,between,143.499,143.25,,143.250-143.499,finalized,2022-09-14 23:09:41,2022-09-14
57,90,86,0,1663196981,0.0,14,10,0,,USDJPY-22SEP1510-B143.375,between,143.499,143.25,,143.250-143.499,finalized,2022-09-14 23:09:41,2022-09-14
