,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,50,0,1682460198,0.0,50,0,0,,USDJPY-23APR2610-T133.000,less,133.0,,,132.999 or below,finalized,2023-04-25 22:03:18,2023-04-25
1,100,50,0,1682460215,0.0,50,0,0,,USDJPY-23APR2610-B133.125,between,133.249,133.0,,133 to 133.249,finalized,2023-04-25 22:03:35,2023-04-25
2,100,50,0,1682460226,0.0,50,0,0,,USDJPY-23APR2610-B133.375,between,133.499,133.25,,133.25 to 133.499,finalized,2023-04-25 22:03:46,2023-04-25
3,100,50,0,1682460236,0.0,50,0,0,,USDJPY-23APR2610-B133.625,between,133.749,133.5,,133.5 to 133.749,finalized,2023-04-25 22:03:56,2023-04-25
4,100,50,0,1682460248,0.0,50,0,0,,USDJPY-23APR2610-B133.875,between,133.999,133.75,,133.75 to 133.999,finalized,2023-04-25 22:04:08,2023-04-25
5,100,50,0,1682460258,0.0,50,0,0,,USDJPY-23APR2610-B134.125,between,134.249,134.0,,134 to 134.249,finalized,2023-04-25 22:04:18,2023-04-25
6,100,50,0,1682460269,0.0,50,0,0,,USDJPY-23APR2610-T134.249,greater,,134.249,,134.25 or above,finalized,2023-04-25 22:04:29,2023-04-25
7,93,50,0,1682460987,0.0,50,7,0,,USDJPY-23APR2610-B133.125,between,133.249,133.0,,133 to 133.249,finalized,2023-04-25 22:16:27,2023-04-25
8,92,50,0,1682460987,0.0,50,8,0,,USDJPY-23APR2610-B133.125,between,133.249,133.0,,133 to 133.249,finalized,2023-04-25 22:16:27,2023-04-25
9,92,88,0,1682460987,0.0,12,8,0,,USDJPY-23APR2610-B133.125,between,133.249,133.0,,133 to 133.249,finalized,2023-04-25 22:16:27,2023-04-25
10,92,89,0,1682460987,0.0,11,8,0,,USDJPY-23APR2610-B133.125,between,133.249,133.0,,133 to 133.249,finalized,2023-04-25 22:16:27,2023-04-25
11,91,50,0,1682460987,0.0,50,9,0,,USDJPY-23APR2610-B133.375,between,133.499,133.25,,133.25 to 133.499,finalized,2023-04-25 22:16:27,2023-04-25
12,89,50,0,1682460987,0.0,50,11,0,,USDJPY-23APR2610-B133.375,between,133.499,133.25,,133.25 to 133.499,finalized,2023-04-25 22:16:27,2023-04-25
13,89,85,0,1682460987,0.0,15,11,0,,USDJPY-23APR2610-B133.375,between,133.499,133.25,,133.25 to 133.499,finalized,2023-04-25 22:16:27,2023-04-25
14,89,86,0,1682460987,0.0,14,11,0,,USDJPY-23APR2610-B133.375,between,133.499,133.25,,133.25 to 133.499,finalized,2023-04-25 22:16:27,2023-04-25
15,89,50,0,1682460987,0.0,50,11,0,,USDJPY-23APR2610-B133.625,between,133.749,133.5,,133.5 to 133.749,finalized,2023-04-25 22:16:27,2023-04-25
16,88,50,0,1682460987,0.0,50,12,0,,USDJPY-23APR2610-B133.625,between,133.749,133.5,,133.5 to 133.749,finalized,2023-04-25 22:16:27,2023-04-25
17,88,82,0,1682460987,0.0,18,12,0,,USDJPY-23APR2610-B133.625,between,133.749,133.5,,133.5 to 133.749,finalized,2023-04-25 22:16:27,2023-04-25
18,88,84,0,1682460987,0.0,16,12,0,,USDJPY-23APR2610-B133.625,between,133.749,133.5,,133.5 to 133.749,finalized,2023-04-25 22:16:27,2023-04-25
