,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,96,0,0,1675266414,0.0,100,4,0,,USDJPY-23FEB0118-128.875,between,128.999,128.75,,128.75 to 128.999,finalized,2023-02-01 15:46:54,2023-02-01
1,99,0,0,1675266414,0.0,100,1,0,,USDJPY-23FEB0118-129.875,between,129.999,129.75,,129.75 to 129.999,finalized,2023-02-01 15:46:54,2023-02-01
2,96,81,0,1675266415,0.0,19,4,0,,USDJPY-23FEB0118-128.875,between,128.999,128.75,,128.75 to 128.999,finalized,2023-02-01 15:46:55,2023-02-01
3,99,84,0,1675266415,0.0,16,1,0,,USDJPY-23FEB0118-129.875,between,129.999,129.75,,129.75 to 129.999,finalized,2023-02-01 15:46:55,2023-02-01
4,96,0,0,1675266416,0.0,100,4,0,,USDJPY-23FEB0118-129.625,between,129.749,129.5,,129.5 to 129.749,finalized,2023-02-01 15:46:56,2023-02-01
5,96,77,0,1675266416,0.0,23,4,0,,USDJPY-23FEB0118-129.625,between,129.749,129.5,,129.5 to 129.749,finalized,2023-02-01 15:46:56,2023-02-01
6,95,0,0,1675266417,0.0,100,5,0,,USDJPY-23FEB0118-129.375,between,129.499,129.25,,129.25 to 129.499,finalized,2023-02-01 15:46:57,2023-02-01
7,95,59,0,1675266418,0.0,41,5,0,,USDJPY-23FEB0118-129.375,between,129.499,129.25,,129.25 to 129.499,finalized,2023-02-01 15:46:58,2023-02-01
8,95,0,0,1675266419,0.0,100,5,0,,USDJPY-23FEB0118-129.125,between,129.249,129.0,,129 to 129.249,finalized,2023-02-01 15:46:59,2023-02-01
9,95,63,0,1675266419,0.0,37,5,0,,USDJPY-23FEB0118-129.125,between,129.249,129.0,,129 to 129.249,finalized,2023-02-01 15:46:59,2023-02-01
10,100,72,0,1675266420,0.0,28,0,0,,USDJPY-23FEB0118-129.999,greater,,129.999,,130 or above,finalized,2023-02-01 15:47:00,2023-02-01
11,99,0,0,1675266421,0.0,100,1,0,,USDJPY-23FEB0118-128.750,less,128.75,,,128.749 or below,finalized,2023-02-01 15:47:01,2023-02-01
12,99,66,0,1675266421,0.0,34,1,0,,USDJPY-23FEB0118-128.750,less,128.75,,,128.749 or below,finalized,2023-02-01 15:47:01,2023-02-01
13,100,84,0,1675266423,0.0,16,0,0,,USDJPY-23FEB0118-129.875,between,129.999,129.75,,129.75 to 129.999,finalized,2023-02-01 15:47:03,2023-02-01
