,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,76,0,0,1674747107,0.0,100,24,0,,USDJPY-23JAN2618-130.125,between,130.249,130.0,,130 to 130.249,finalized,2023-01-26 15:31:47,2023-01-26
1,95,0,0,1674747108,0.0,100,5,0,,USDJPY-23JAN2618-129.875,between,129.999,129.75,,129.75 to 129.999,finalized,2023-01-26 15:31:48,2023-01-26
2,76,71,0,1674747108,0.0,29,24,0,,USDJPY-23JAN2618-130.125,between,130.249,130.0,,130 to 130.249,finalized,2023-01-26 15:31:48,2023-01-26
3,100,1,0,1674747108,0.0,99,0,0,,USDJPY-23JAN2618-130.375,between,130.499,130.25,,130.25 to 130.499,finalized,2023-01-26 15:31:48,2023-01-26
4,100,62,0,1674747108,0.0,38,0,0,,USDJPY-23JAN2618-130.375,between,130.499,130.25,,130.25 to 130.499,finalized,2023-01-26 15:31:48,2023-01-26
5,67,62,0,1674747108,0.0,38,33,0,,USDJPY-23JAN2618-130.375,between,130.499,130.25,,130.25 to 130.499,finalized,2023-01-26 15:31:48,2023-01-26
6,85,0,0,1674747108,0.0,100,15,0,,USDJPY-23JAN2618-130.625,between,130.749,130.5,,130.5 to 130.749,finalized,2023-01-26 15:31:48,2023-01-26
7,100,1,0,1674747108,0.0,99,0,0,,USDJPY-23JAN2618-130.749,greater,,130.749,,130.75 or higher,finalized,2023-01-26 15:31:48,2023-01-26
8,94,1,0,1674747108,0.0,99,6,0,,USDJPY-23JAN2618-130.749,greater,,130.749,,130.75 or higher,finalized,2023-01-26 15:31:48,2023-01-26
9,93,0,0,1674747109,0.0,100,7,0,,USDJPY-23JAN2618-129.875,between,129.999,129.75,,129.75 to 129.999,finalized,2023-01-26 15:31:49,2023-01-26
10,93,87,0,1674747109,0.0,13,7,0,,USDJPY-23JAN2618-129.875,between,129.999,129.75,,129.75 to 129.999,finalized,2023-01-26 15:31:49,2023-01-26
11,93,89,0,1674747109,0.0,11,7,0,,USDJPY-23JAN2618-129.875,between,129.999,129.75,,129.75 to 129.999,finalized,2023-01-26 15:31:49,2023-01-26
12,85,79,0,1674747109,0.0,21,15,0,,USDJPY-23JAN2618-130.625,between,130.749,130.5,,130.5 to 130.749,finalized,2023-01-26 15:31:49,2023-01-26
13,94,91,0,1674747109,0.0,9,6,0,,USDJPY-23JAN2618-130.749,greater,,130.749,,130.75 or higher,finalized,2023-01-26 15:31:49,2023-01-26
14,100,1,0,1674747110,0.0,99,0,0,,USDJPY-23JAN2618-129.500,less,129.5,,,129.499 or lower,finalized,2023-01-26 15:31:50,2023-01-26
15,100,1,0,1674747110,0.0,99,0,0,,USDJPY-23JAN2618-129.625,between,129.749,129.5,,129.5 to 129.749,finalized,2023-01-26 15:31:50,2023-01-26
16,83,79,0,1674747110,0.0,21,17,0,,USDJPY-23JAN2618-130.625,between,130.749,130.5,,130.5 to 130.749,finalized,2023-01-26 15:31:50,2023-01-26
17,93,88,0,1674747200,0.0,12,7,0,,USDJPY-23JAN2618-129.875,between,129.999,129.75,,129.75 to 129.999,finalized,2023-01-26 15:33:20,2023-01-26
18,76,70,0,1674747200,0.0,30,24,0,,USDJPY-23JAN2618-130.125,between,130.249,130.0,,130 to 130.249,finalized,2023-01-26 15:33:20,2023-01-26
19,78,70,0,1674747200,0.0,30,22,0,,USDJPY-23JAN2618-130.125,between,130.249,130.0,,130 to 130.249,finalized,2023-01-26 15:33:20,2023-01-26
20,72,62,0,1674747200,0.0,38,28,0,,USDJPY-23JAN2618-130.375,between,130.499,130.25,,130.25 to 130.499,finalized,2023-01-26 15:33:20,2023-01-26
21,83,77,0,1674747200,0.0,23,17,0,,USDJPY-23JAN2618-130.625,between,130.749,130.5,,130.5 to 130.749,finalized,2023-01-26 15:33:20,2023-01-26
