,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,82,0,0,1679927666,0.0,100,18,0,,USDJPY-23MAR2718-B131.125,between,131.249,131.0,,131 to 131.249,finalized,2023-03-27 14:34:26,2023-03-27
1,81,0,0,1679927666,0.0,100,19,0,,USDJPY-23MAR2718-B131.125,between,131.249,131.0,,131 to 131.249,finalized,2023-03-27 14:34:26,2023-03-27
2,79,0,0,1679927666,0.0,100,21,0,,USDJPY-23MAR2718-B131.125,between,131.249,131.0,,131 to 131.249,finalized,2023-03-27 14:34:26,2023-03-27
3,79,74,0,1679927666,0.0,26,21,0,,USDJPY-23MAR2718-B131.125,between,131.249,131.0,,131 to 131.249,finalized,2023-03-27 14:34:26,2023-03-27
4,65,0,0,1679927666,0.0,100,35,0,,USDJPY-23MAR2718-B131.375,between,131.499,131.25,,131.25 to 131.499,finalized,2023-03-27 14:34:26,2023-03-27
5,65,1,0,1679927666,0.0,99,35,0,,USDJPY-23MAR2718-B131.375,between,131.499,131.25,,131.25 to 131.499,finalized,2023-03-27 14:34:26,2023-03-27
6,65,56,0,1679927666,0.0,44,35,0,,USDJPY-23MAR2718-B131.375,between,131.499,131.25,,131.25 to 131.499,finalized,2023-03-27 14:34:26,2023-03-27
7,65,57,0,1679927666,0.0,43,35,0,,USDJPY-23MAR2718-B131.375,between,131.499,131.25,,131.25 to 131.499,finalized,2023-03-27 14:34:26,2023-03-27
8,100,1,0,1679927666,0.0,99,0,0,,USDJPY-23MAR2718-B131.625,between,131.749,131.5,,131.5 to 131.749,finalized,2023-03-27 14:34:26,2023-03-27
9,79,1,0,1679927666,0.0,99,21,0,,USDJPY-23MAR2718-B131.625,between,131.749,131.5,,131.5 to 131.749,finalized,2023-03-27 14:34:26,2023-03-27
10,78,1,0,1679927666,0.0,99,22,0,,USDJPY-23MAR2718-B131.625,between,131.749,131.5,,131.5 to 131.749,finalized,2023-03-27 14:34:26,2023-03-27
11,76,1,0,1679927666,0.0,99,24,0,,USDJPY-23MAR2718-B131.625,between,131.749,131.5,,131.5 to 131.749,finalized,2023-03-27 14:34:26,2023-03-27
12,76,69,0,1679927666,0.0,31,24,0,,USDJPY-23MAR2718-B131.625,between,131.749,131.5,,131.5 to 131.749,finalized,2023-03-27 14:34:26,2023-03-27
13,100,1,0,1679927666,0.0,99,0,0,,USDJPY-23MAR2718-B131.875,between,131.999,131.75,,131.75 to 131.999,finalized,2023-03-27 14:34:26,2023-03-27
14,100,1,0,1679927666,0.0,99,0,0,,USDJPY-23MAR2718-B132.125,between,132.249,132.0,,132 to 132.249,finalized,2023-03-27 14:34:26,2023-03-27
15,100,1,0,1679927666,0.0,99,0,0,,USDJPY-23MAR2718-T131.000,less,131.0,,,130.999 or below,finalized,2023-03-27 14:34:26,2023-03-27
16,100,1,0,1679927666,0.0,99,0,0,,USDJPY-23MAR2718-T132.249,greater,,132.249,,132.25 or above,finalized,2023-03-27 14:34:26,2023-03-27
17,76,71,0,1679927667,0.0,29,24,0,,USDJPY-23MAR2718-B131.625,between,131.749,131.5,,131.5 to 131.749,finalized,2023-03-27 14:34:27,2023-03-27
18,96,1,0,1679927667,0.0,99,4,0,,USDJPY-23MAR2718-B131.875,between,131.999,131.75,,131.75 to 131.999,finalized,2023-03-27 14:34:27,2023-03-27
19,95,1,0,1679927667,0.0,99,5,0,,USDJPY-23MAR2718-B131.875,between,131.999,131.75,,131.75 to 131.999,finalized,2023-03-27 14:34:27,2023-03-27
20,95,90,0,1679927667,0.0,10,5,0,,USDJPY-23MAR2718-B131.875,between,131.999,131.75,,131.75 to 131.999,finalized,2023-03-27 14:34:27,2023-03-27
21,95,92,0,1679927667,0.0,8,5,0,,USDJPY-23MAR2718-B131.875,between,131.999,131.75,,131.75 to 131.999,finalized,2023-03-27 14:34:27,2023-03-27
22,100,0,0,1679927667,0.0,100,0,0,,USDJPY-23MAR2718-B132.125,between,132.249,132.0,,132 to 132.249,finalized,2023-03-27 14:34:27,2023-03-27
23,100,1,0,1679927667,0.0,99,0,0,,USDJPY-23MAR2718-B132.125,between,132.249,132.0,,132 to 132.249,finalized,2023-03-27 14:34:27,2023-03-27
24,97,1,0,1679927667,0.0,99,3,0,,USDJPY-23MAR2718-T131.000,less,131.0,,,130.999 or below,finalized,2023-03-27 14:34:27,2023-03-27
25,96,1,0,1679927667,0.0,99,4,0,,USDJPY-23MAR2718-T131.000,less,131.0,,,130.999 or below,finalized,2023-03-27 14:34:27,2023-03-27
26,96,93,0,1679927667,0.0,7,4,0,,USDJPY-23MAR2718-T131.000,less,131.0,,,130.999 or below,finalized,2023-03-27 14:34:27,2023-03-27
27,100,0,0,1679927667,0.0,100,0,0,,USDJPY-23MAR2718-T132.249,greater,,132.249,,132.25 or above,finalized,2023-03-27 14:34:27,2023-03-27
28,100,1,0,1679927667,0.0,99,0,0,,USDJPY-23MAR2718-T132.249,greater,,132.249,,132.25 or above,finalized,2023-03-27 14:34:27,2023-03-27
29,81,74,0,1679927682,0.0,26,19,0,,USDJPY-23MAR2718-B131.125,between,131.249,131.0,,131 to 131.249,finalized,2023-03-27 14:34:42,2023-03-27
30,81,73,0,1679927682,0.0,27,19,0,,USDJPY-23MAR2718-B131.125,between,131.249,131.0,,131 to 131.249,finalized,2023-03-27 14:34:42,2023-03-27
31,78,73,0,1679927682,0.0,27,22,0,,USDJPY-23MAR2718-B131.125,between,131.249,131.0,,131 to 131.249,finalized,2023-03-27 14:34:42,2023-03-27
32,63,57,0,1679927682,0.0,43,37,0,,USDJPY-23MAR2718-B131.375,between,131.499,131.25,,131.25 to 131.499,finalized,2023-03-27 14:34:42,2023-03-27
33,78,71,0,1679927682,0.0,29,22,0,,USDJPY-23MAR2718-B131.625,between,131.749,131.5,,131.5 to 131.749,finalized,2023-03-27 14:34:42,2023-03-27
34,79,71,0,1679927682,0.0,29,21,0,,USDJPY-23MAR2718-B131.625,between,131.749,131.5,,131.5 to 131.749,finalized,2023-03-27 14:34:42,2023-03-27
35,79,69,0,1679927682,0.0,31,21,0,,USDJPY-23MAR2718-B131.625,between,131.749,131.5,,131.5 to 131.749,finalized,2023-03-27 14:34:42,2023-03-27
