,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,91,0,0,1683065782,0.0,100,9,0,,USDJPY-23MAY0310-B136.125,between,136.249,136.0,,136 to 136.249,finalized,2023-05-02 22:16:22,2023-05-02
1,89,0,0,1683065782,0.0,100,11,0,,USDJPY-23MAY0310-B136.125,between,136.249,136.0,,136 to 136.249,finalized,2023-05-02 22:16:22,2023-05-02
2,89,1,0,1683065782,0.0,99,11,0,,USDJPY-23MAY0310-B136.125,between,136.249,136.0,,136 to 136.249,finalized,2023-05-02 22:16:22,2023-05-02
3,89,84,0,1683065782,0.0,16,11,0,,USDJPY-23MAY0310-B136.125,between,136.249,136.0,,136 to 136.249,finalized,2023-05-02 22:16:22,2023-05-02
4,89,86,0,1683065782,0.0,14,11,0,,USDJPY-23MAY0310-B136.125,between,136.249,136.0,,136 to 136.249,finalized,2023-05-02 22:16:22,2023-05-02
5,100,1,0,1683065782,0.0,99,0,0,,USDJPY-23MAY0310-B136.375,between,136.499,136.25,,136.25 to 136.499,finalized,2023-05-02 22:16:22,2023-05-02
6,89,1,0,1683065782,0.0,99,11,0,,USDJPY-23MAY0310-B136.375,between,136.499,136.25,,136.25 to 136.499,finalized,2023-05-02 22:16:22,2023-05-02
7,88,1,0,1683065782,0.0,99,12,0,,USDJPY-23MAY0310-B136.375,between,136.499,136.25,,136.25 to 136.499,finalized,2023-05-02 22:16:22,2023-05-02
8,88,84,0,1683065782,0.0,16,12,0,,USDJPY-23MAY0310-B136.375,between,136.499,136.25,,136.25 to 136.499,finalized,2023-05-02 22:16:22,2023-05-02
9,100,1,0,1683065782,0.0,99,0,0,,USDJPY-23MAY0310-B136.625,between,136.749,136.5,,136.5 to 136.749,finalized,2023-05-02 22:16:22,2023-05-02
10,89,1,0,1683065782,0.0,99,11,0,,USDJPY-23MAY0310-B136.625,between,136.749,136.5,,136.5 to 136.749,finalized,2023-05-02 22:16:22,2023-05-02
