,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,94,0,1671831979,0.0,6,0,0,,WTIW-22DEC30-B73.5,between,73.99,73.0,,$73 to 73.99,finalized,2022-12-23 21:46:19,2022-12-23
1,100,92,0,1671831979,0.0,8,0,0,,WTIW-22DEC30-B74.5,between,74.99,74.0,,$74 to 74.99,finalized,2022-12-23 21:46:19,2022-12-23
2,100,94,0,1671831979,0.0,6,0,0,,WTIW-22DEC30-B74.5,between,74.99,74.0,,$74 to 74.99,finalized,2022-12-23 21:46:19,2022-12-23
3,100,92,0,1671831979,0.0,8,0,0,,WTIW-22DEC30-B75.5,between,75.99,75.0,,$75 to 75.99,finalized,2022-12-23 21:46:19,2022-12-23
4,97,92,0,1671831979,0.0,8,3,0,,WTIW-22DEC30-B75.5,between,75.99,75.0,,$75 to 75.99,finalized,2022-12-23 21:46:19,2022-12-23
5,100,91,0,1671831979,0.0,9,0,0,,WTIW-22DEC30-B76.5,between,76.99,76.0,,$76 to 76.99,finalized,2022-12-23 21:46:19,2022-12-23
6,97,91,0,1671831979,0.0,9,3,0,,WTIW-22DEC30-B76.5,between,76.99,76.0,,$76 to 76.99,finalized,2022-12-23 21:46:19,2022-12-23
7,95,91,0,1671831979,0.0,9,5,0,,WTIW-22DEC30-B76.5,between,76.99,76.0,,$76 to 76.99,finalized,2022-12-23 21:46:19,2022-12-23
8,100,90,0,1671831979,0.0,10,0,0,,WTIW-22DEC30-B78.5,between,78.99,78.0,,$78 to 78.99,finalized,2022-12-23 21:46:19,2022-12-23
9,100,88,0,1671831979,0.0,12,0,0,,WTIW-22DEC30-B79.5,between,79.99,79.0,,$79 to 79.99,finalized,2022-12-23 21:46:19,2022-12-23
10,94,88,0,1671831979,0.0,12,6,0,,WTIW-22DEC30-B79.5,between,79.99,79.0,,$79 to 79.99,finalized,2022-12-23 21:46:19,2022-12-23
11,94,0,0,1671831979,0.0,100,6,0,,WTIW-22DEC30-B80.5,between,80.99,80.0,,$80 to 80.99,finalized,2022-12-23 21:46:19,2022-12-23
12,94,88,0,1671831979,0.0,12,6,0,,WTIW-22DEC30-B80.5,between,80.99,80.0,,$80 to 80.99,finalized,2022-12-23 21:46:19,2022-12-23
13,100,93,0,1671831979,0.0,7,0,0,,WTIW-22DEC30-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2022-12-23 21:46:19,2022-12-23
14,92,0,0,1671831979,0.0,100,8,0,,WTIW-22DEC30-T73,less,73.0,,,$72.99 or lower,finalized,2022-12-23 21:46:19,2022-12-23
15,100,95,0,1671831980,0.0,5,0,0,,WTIW-22DEC30-B73.5,between,73.99,73.0,,$73 to 73.99,finalized,2022-12-23 21:46:20,2022-12-23
16,99,95,0,1671831980,0.0,5,1,0,,WTIW-22DEC30-B73.5,between,73.99,73.0,,$73 to 73.99,finalized,2022-12-23 21:46:20,2022-12-23
17,98,95,0,1671831980,0.0,5,2,0,,WTIW-22DEC30-B73.5,between,73.99,73.0,,$73 to 73.99,finalized,2022-12-23 21:46:20,2022-12-23
18,97,94,0,1671831980,0.0,6,3,0,,WTIW-22DEC30-B74.5,between,74.99,74.0,,$74 to 74.99,finalized,2022-12-23 21:46:20,2022-12-23
19,96,92,0,1671831980,0.0,8,4,0,,WTIW-22DEC30-B75.5,between,75.99,75.0,,$75 to 75.99,finalized,2022-12-23 21:46:20,2022-12-23
20,96,93,0,1671831980,0.0,7,4,0,,WTIW-22DEC30-B75.5,between,75.99,75.0,,$75 to 75.99,finalized,2022-12-23 21:46:20,2022-12-23
21,95,92,0,1671831980,0.0,8,5,0,,WTIW-22DEC30-B76.5,between,76.99,76.0,,$76 to 76.99,finalized,2022-12-23 21:46:20,2022-12-23
22,100,89,0,1671831980,0.0,11,0,0,,WTIW-22DEC30-B77.5,between,77.99,77.0,,$77 to 77.99,finalized,2022-12-23 21:46:20,2022-12-23
23,100,91,0,1671831980,0.0,9,0,0,,WTIW-22DEC30-B77.5,between,77.99,77.0,,$77 to 77.99,finalized,2022-12-23 21:46:20,2022-12-23
