,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,97,0,0,1668202745,0.0,100,3,0,,WTIW-22NOV18-T83,less,82.99,,,$82.99 or lower,finalized,2022-11-11 21:39:05,2022-11-11
1,97,0,0,1668202749,0.0,100,3,0,,WTIW-22NOV18-B83.5,between,83.99,83.0,,$83 to 83.99,finalized,2022-11-11 21:39:09,2022-11-11
2,97,0,0,1668202753,0.0,100,3,0,,WTIW-22NOV18-B84.5,between,84.99,84.0,,$84 to 84.99,finalized,2022-11-11 21:39:13,2022-11-11
3,97,0,0,1668202758,0.0,100,3,0,,WTIW-22NOV18-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2022-11-11 21:39:18,2022-11-11
4,97,0,0,1668202763,0.0,100,3,0,,WTIW-22NOV18-B86.5,between,86.99,86.0,,$86 to 86.99,finalized,2022-11-11 21:39:23,2022-11-11
5,97,0,0,1668202769,0.0,100,3,0,,WTIW-22NOV18-B87.5,between,87.99,87.0,,$87 to 87.99,finalized,2022-11-11 21:39:29,2022-11-11
6,97,0,0,1668202775,0.0,100,3,0,,WTIW-22NOV18-B88.5,between,88.99,88.0,,$88 to 88.99,finalized,2022-11-11 21:39:35,2022-11-11
7,97,0,0,1668202782,0.0,100,3,0,,WTIW-22NOV18-B89.5,between,89.99,89.0,,$89 to 89.99,finalized,2022-11-11 21:39:42,2022-11-11
8,97,0,0,1668202787,0.0,100,3,0,,WTIW-22NOV18-B90.5,between,90.99,90.0,,$90 to 90.99,finalized,2022-11-11 21:39:47,2022-11-11
9,97,0,0,1668202793,0.0,100,3,0,,WTIW-22NOV18-B91.5,between,91.99,91.0,,$91 to 91.99,finalized,2022-11-11 21:39:53,2022-11-11
10,97,0,0,1668202799,0.0,100,3,0,,WTIW-22NOV18-B92.5,between,92.99,92.0,,$92 to 92.99,finalized,2022-11-11 21:39:59,2022-11-11
11,97,0,0,1668202804,0.0,100,3,0,,WTIW-22NOV18-B93.5,between,93.99,93.0,,$93 to 93.99,finalized,2022-11-11 21:40:04,2022-11-11
12,97,0,0,1668202810,0.0,100,3,0,,WTIW-22NOV18-B94.5,between,94.99,94.0,,$94 to 94.99,finalized,2022-11-11 21:40:10,2022-11-11
13,97,0,0,1668202814,0.0,100,3,0,,WTIW-22NOV18-B95.5,between,95.99,95.0,,$95 to 95.99,finalized,2022-11-11 21:40:14,2022-11-11
14,97,0,0,1668202820,0.0,100,3,0,,WTIW-22NOV18-T95.99,greater,,96.0,,$96 or higher,finalized,2022-11-11 21:40:20,2022-11-11
15,97,93,0,1668203176,0.0,7,3,0,,WTIW-22NOV18-B83.5,between,83.99,83.0,,$83 to 83.99,finalized,2022-11-11 21:46:16,2022-11-11
16,97,93,0,1668203176,0.0,7,3,0,,WTIW-22NOV18-B84.5,between,84.99,84.0,,$84 to 84.99,finalized,2022-11-11 21:46:16,2022-11-11
17,97,91,0,1668203176,0.0,9,3,0,,WTIW-22NOV18-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2022-11-11 21:46:16,2022-11-11
18,96,91,0,1668203176,0.0,9,4,0,,WTIW-22NOV18-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2022-11-11 21:46:16,2022-11-11
19,96,92,0,1668203176,0.0,8,4,0,,WTIW-22NOV18-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2022-11-11 21:46:16,2022-11-11
20,97,89,0,1668203176,0.0,11,3,0,,WTIW-22NOV18-B86.5,between,86.99,86.0,,$86 to 86.99,finalized,2022-11-11 21:46:16,2022-11-11
21,97,91,0,1668203176,0.0,9,3,0,,WTIW-22NOV18-B86.5,between,86.99,86.0,,$86 to 86.99,finalized,2022-11-11 21:46:16,2022-11-11
22,95,91,0,1668203176,0.0,9,5,0,,WTIW-22NOV18-B86.5,between,86.99,86.0,,$86 to 86.99,finalized,2022-11-11 21:46:16,2022-11-11
23,96,0,0,1668203176,0.0,100,4,0,,WTIW-22NOV18-B87.5,between,87.99,87.0,,$87 to 87.99,finalized,2022-11-11 21:46:16,2022-11-11
24,96,88,0,1668203176,0.0,12,4,0,,WTIW-22NOV18-B87.5,between,87.99,87.0,,$87 to 87.99,finalized,2022-11-11 21:46:16,2022-11-11
25,96,90,0,1668203176,0.0,10,4,0,,WTIW-22NOV18-B87.5,between,87.99,87.0,,$87 to 87.99,finalized,2022-11-11 21:46:16,2022-11-11
26,94,0,0,1668203176,0.0,100,6,0,,WTIW-22NOV18-B88.5,between,88.99,88.0,,$88 to 88.99,finalized,2022-11-11 21:46:16,2022-11-11
27,94,88,0,1668203176,0.0,12,6,0,,WTIW-22NOV18-B88.5,between,88.99,88.0,,$88 to 88.99,finalized,2022-11-11 21:46:16,2022-11-11
28,94,89,0,1668203176,0.0,11,6,0,,WTIW-22NOV18-B88.5,between,88.99,88.0,,$88 to 88.99,finalized,2022-11-11 21:46:16,2022-11-11
29,94,90,0,1668203176,0.0,10,6,0,,WTIW-22NOV18-B88.5,between,88.99,88.0,,$88 to 88.99,finalized,2022-11-11 21:46:16,2022-11-11
30,97,88,0,1668203176,0.0,12,3,0,,WTIW-22NOV18-B89.5,between,89.99,89.0,,$89 to 89.99,finalized,2022-11-11 21:46:16,2022-11-11
31,97,89,0,1668203176,0.0,11,3,0,,WTIW-22NOV18-B89.5,between,89.99,89.0,,$89 to 89.99,finalized,2022-11-11 21:46:16,2022-11-11
32,94,0,0,1668203176,0.0,100,6,0,,WTIW-22NOV18-B90.5,between,90.99,90.0,,$90 to 90.99,finalized,2022-11-11 21:46:16,2022-11-11
33,94,89,0,1668203176,0.0,11,6,0,,WTIW-22NOV18-B90.5,between,90.99,90.0,,$90 to 90.99,finalized,2022-11-11 21:46:16,2022-11-11
34,94,90,0,1668203176,0.0,10,6,0,,WTIW-22NOV18-B90.5,between,90.99,90.0,,$90 to 90.99,finalized,2022-11-11 21:46:16,2022-11-11
35,97,89,0,1668203176,0.0,11,3,0,,WTIW-22NOV18-B91.5,between,91.99,91.0,,$91 to 91.99,finalized,2022-11-11 21:46:16,2022-11-11
36,96,89,0,1668203176,0.0,11,4,0,,WTIW-22NOV18-B91.5,between,91.99,91.0,,$91 to 91.99,finalized,2022-11-11 21:46:16,2022-11-11
37,96,90,0,1668203176,0.0,10,4,0,,WTIW-22NOV18-B91.5,between,91.99,91.0,,$91 to 91.99,finalized,2022-11-11 21:46:16,2022-11-11
38,96,91,0,1668203176,0.0,9,4,0,,WTIW-22NOV18-B91.5,between,91.99,91.0,,$91 to 91.99,finalized,2022-11-11 21:46:16,2022-11-11
