,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,75,0,1665779749,0.0,25,0,0,,WTIW-22OCT21-T80,less,79.99,,,$79.99 or lower,finalized,2022-10-14 20:35:49,2022-10-14
1,100,75,0,1665779777,0.0,25,0,0,,WTIW-22OCT21-B80.5,between,80.99,80.0,,$80 to 80.99,finalized,2022-10-14 20:36:17,2022-10-14
2,100,75,0,1665779803,0.0,25,0,0,,WTIW-22OCT21-B81.5,between,81.99,81.0,,$81 to 81.99,finalized,2022-10-14 20:36:43,2022-10-14
3,100,75,0,1665779848,0.0,25,0,0,,WTIW-22OCT21-B82.5,between,82.99,82.0,,$82 to 82.99,finalized,2022-10-14 20:37:28,2022-10-14
4,100,75,0,1665779893,0.0,25,0,0,,WTIW-22OCT21-B83.5,between,83.99,83.0,,$83 to 83.99,finalized,2022-10-14 20:38:13,2022-10-14
5,100,75,0,1665779919,0.0,25,0,0,,WTIW-22OCT21-B84.5,between,84.99,84.0,,$84 to 84.99,finalized,2022-10-14 20:38:39,2022-10-14
6,100,75,0,1665779953,0.0,25,0,0,,WTIW-22OCT21-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2022-10-14 20:39:13,2022-10-14
7,100,75,0,1665780032,0.0,25,0,0,,WTIW-22OCT21-B86.5,between,86.99,86.0,,$86 to 86.99,finalized,2022-10-14 20:40:32,2022-10-14
8,100,75,0,1665780075,0.0,25,0,0,,WTIW-22OCT21-B87.5,between,87.99,87.0,,$87 to 87.99,finalized,2022-10-14 20:41:15,2022-10-14
9,100,75,0,1665780104,0.0,25,0,0,,WTIW-22OCT21-B88.5,between,88.99,88.0,,$88 to 88.99,finalized,2022-10-14 20:41:44,2022-10-14
10,100,75,0,1665780136,0.0,25,0,0,,WTIW-22OCT21-B89.5,between,89.99,89.0,,$89 to 89.99,finalized,2022-10-14 20:42:16,2022-10-14
11,100,75,0,1665780161,0.0,25,0,0,,WTIW-22OCT21-B90.5,between,90.99,90.0,,$90 to 90.99,finalized,2022-10-14 20:42:41,2022-10-14
12,100,75,0,1665780190,0.0,25,0,0,,WTIW-22OCT21-B91.5,between,91.99,91.0,,$91 to 91.99,finalized,2022-10-14 20:43:10,2022-10-14
13,100,75,0,1665780243,0.0,25,0,0,,WTIW-22OCT21-B92.5,between,92.99,92.0,,$92 to 92.99,finalized,2022-10-14 20:44:03,2022-10-14
14,100,75,0,1665780259,0.0,25,0,0,,WTIW-22OCT21-T92.99,greater,,93.0,,$93 or higher,finalized,2022-10-14 20:44:19,2022-10-14
15,100,90,0,1665780463,0.0,10,0,0,,WTIW-22OCT21-B83.5,between,83.99,83.0,,$83 to 83.99,finalized,2022-10-14 20:47:43,2022-10-14
16,100,91,0,1665780463,0.0,9,0,0,,WTIW-22OCT21-B83.5,between,83.99,83.0,,$83 to 83.99,finalized,2022-10-14 20:47:43,2022-10-14
17,96,91,0,1665780463,0.0,9,4,0,,WTIW-22OCT21-B83.5,between,83.99,83.0,,$83 to 83.99,finalized,2022-10-14 20:47:43,2022-10-14
18,95,91,0,1665780463,0.0,9,5,0,,WTIW-22OCT21-B83.5,between,83.99,83.0,,$83 to 83.99,finalized,2022-10-14 20:47:43,2022-10-14
19,99,75,0,1665780464,0.0,25,1,0,,WTIW-22OCT21-B89.5,between,89.99,89.0,,$89 to 89.99,finalized,2022-10-14 20:47:44,2022-10-14
20,100,86,0,1665780464,0.0,14,0,0,,WTIW-22OCT21-T92.99,greater,,93.0,,$93 or higher,finalized,2022-10-14 20:47:44,2022-10-14
21,100,89,0,1665780465,0.0,11,0,0,,WTIW-22OCT21-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2022-10-14 20:47:45,2022-10-14
22,95,89,0,1665780465,0.0,11,5,0,,WTIW-22OCT21-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2022-10-14 20:47:45,2022-10-14
23,94,89,0,1665780465,0.0,11,6,0,,WTIW-22OCT21-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2022-10-14 20:47:45,2022-10-14
24,94,90,0,1665780465,0.0,10,6,0,,WTIW-22OCT21-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2022-10-14 20:47:45,2022-10-14
25,94,91,0,1665780465,0.0,9,6,0,,WTIW-22OCT21-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2022-10-14 20:47:45,2022-10-14
26,99,92,0,1665780465,0.0,8,1,0,,WTIW-22OCT21-B89.5,between,89.99,89.0,,$89 to 89.99,finalized,2022-10-14 20:47:45,2022-10-14
