,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,95,0,1664225198,0.0,5,0,0,,WTIW-22SEP30-B72.495,between,72.99,72.0,,$72-$72.99,finalized,2022-09-26 20:46:38,2022-09-26
1,100,95,0,1664225198,0.0,5,0,0,,WTIW-22SEP30-B72.495,between,72.99,72.0,,$72-$72.99,finalized,2022-09-26 20:46:38,2022-09-26
2,100,95,0,1664225198,0.0,5,0,0,,WTIW-22SEP30-B72.495,between,72.99,72.0,,$72-$72.99,finalized,2022-09-26 20:46:38,2022-09-26
3,99,95,0,1664225198,0.0,5,1,0,,WTIW-22SEP30-B72.495,between,72.99,72.0,,$72-$72.99,finalized,2022-09-26 20:46:38,2022-09-26
4,98,95,0,1664225198,0.0,5,2,0,,WTIW-22SEP30-B72.495,between,72.99,72.0,,$72-$72.99,finalized,2022-09-26 20:46:38,2022-09-26
5,100,87,0,1664225198,0.0,13,0,0,,WTIW-22SEP30-B78.495,between,78.99,78.0,,$78-$78.99,finalized,2022-09-26 20:46:38,2022-09-26
6,100,88,0,1664225198,0.0,12,0,0,,WTIW-22SEP30-B78.495,between,78.99,78.0,,$78-$78.99,finalized,2022-09-26 20:46:38,2022-09-26
7,92,88,0,1664225198,0.0,12,8,0,,WTIW-22SEP30-B78.495,between,78.99,78.0,,$78-$78.99,finalized,2022-09-26 20:46:38,2022-09-26
8,92,88,0,1664225198,0.0,12,8,0,,WTIW-22SEP30-B78.495,between,78.99,78.0,,$78-$78.99,finalized,2022-09-26 20:46:38,2022-09-26
9,92,88,0,1664225198,0.0,12,8,0,,WTIW-22SEP30-B78.495,between,78.99,78.0,,$78-$78.99,finalized,2022-09-26 20:46:38,2022-09-26
10,92,88,0,1664225198,0.0,12,8,0,,WTIW-22SEP30-B78.495,between,78.99,78.0,,$78-$78.99,finalized,2022-09-26 20:46:38,2022-09-26
11,99,0,0,1664225198,0.0,100,1,0,,WTIW-22SEP30-T71,less,71.0,,,<$71,finalized,2022-09-26 20:46:38,2022-09-26
