,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,98,0,0,1673649081,0.0,100,2,0,,WTIW-23JAN20-B77.5,between,77.99,77.0,,$77 to 77.99,finalized,2023-01-13 22:31:21,2023-01-13
1,98,0,0,1673649082,0.0,100,2,0,,WTIW-23JAN20-B73.5,between,73.99,73.0,,$73 to 73.99,finalized,2023-01-13 22:31:22,2023-01-13
2,98,93,0,1673649082,0.0,7,2,0,,WTIW-23JAN20-B73.5,between,73.99,73.0,,$73 to 73.99,finalized,2023-01-13 22:31:22,2023-01-13
3,98,94,0,1673649082,0.0,6,2,0,,WTIW-23JAN20-B73.5,between,73.99,73.0,,$73 to 73.99,finalized,2023-01-13 22:31:22,2023-01-13
4,98,95,0,1673649082,0.0,5,2,0,,WTIW-23JAN20-B73.5,between,73.99,73.0,,$73 to 73.99,finalized,2023-01-13 22:31:22,2023-01-13
5,100,92,0,1673649082,0.0,8,0,0,,WTIW-23JAN20-B74.5,between,74.99,74.0,,$74 to 74.99,finalized,2023-01-13 22:31:22,2023-01-13
6,100,94,0,1673649082,0.0,6,0,0,,WTIW-23JAN20-B74.5,between,74.99,74.0,,$74 to 74.99,finalized,2023-01-13 22:31:22,2023-01-13
7,98,94,0,1673649082,0.0,6,2,0,,WTIW-23JAN20-B74.5,between,74.99,74.0,,$74 to 74.99,finalized,2023-01-13 22:31:22,2023-01-13
8,100,92,0,1673649082,0.0,8,0,0,,WTIW-23JAN20-B75.5,between,75.99,75.0,,$75 to 75.99,finalized,2023-01-13 22:31:22,2023-01-13
9,99,92,0,1673649082,0.0,8,1,0,,WTIW-23JAN20-B75.5,between,75.99,75.0,,$75 to 75.99,finalized,2023-01-13 22:31:22,2023-01-13
10,98,92,0,1673649082,0.0,8,2,0,,WTIW-23JAN20-B75.5,between,75.99,75.0,,$75 to 75.99,finalized,2023-01-13 22:31:22,2023-01-13
11,98,93,0,1673649082,0.0,7,2,0,,WTIW-23JAN20-B75.5,between,75.99,75.0,,$75 to 75.99,finalized,2023-01-13 22:31:22,2023-01-13
12,98,94,0,1673649082,0.0,6,2,0,,WTIW-23JAN20-B75.5,between,75.99,75.0,,$75 to 75.99,finalized,2023-01-13 22:31:22,2023-01-13
13,100,91,0,1673649082,0.0,9,0,0,,WTIW-23JAN20-B76.5,between,76.99,76.0,,$76 to 76.99,finalized,2023-01-13 22:31:22,2023-01-13
14,100,92,0,1673649082,0.0,8,0,0,,WTIW-23JAN20-B76.5,between,76.99,76.0,,$76 to 76.99,finalized,2023-01-13 22:31:22,2023-01-13
15,98,92,0,1673649082,0.0,8,2,0,,WTIW-23JAN20-B76.5,between,76.99,76.0,,$76 to 76.99,finalized,2023-01-13 22:31:22,2023-01-13
16,97,92,0,1673649082,0.0,8,3,0,,WTIW-23JAN20-B76.5,between,76.99,76.0,,$76 to 76.99,finalized,2023-01-13 22:31:22,2023-01-13
17,98,92,0,1673649082,0.0,8,2,0,,WTIW-23JAN20-B77.5,between,77.99,77.0,,$77 to 77.99,finalized,2023-01-13 22:31:22,2023-01-13
18,96,92,0,1673649082,0.0,8,4,0,,WTIW-23JAN20-B77.5,between,77.99,77.0,,$77 to 77.99,finalized,2023-01-13 22:31:22,2023-01-13
19,100,90,0,1673649082,0.0,10,0,0,,WTIW-23JAN20-B78.5,between,78.99,78.0,,$78 to 78.99,finalized,2023-01-13 22:31:22,2023-01-13
20,100,91,0,1673649082,0.0,9,0,0,,WTIW-23JAN20-B78.5,between,78.99,78.0,,$78 to 78.99,finalized,2023-01-13 22:31:22,2023-01-13
21,96,91,0,1673649082,0.0,9,4,0,,WTIW-23JAN20-B78.5,between,78.99,78.0,,$78 to 78.99,finalized,2023-01-13 22:31:22,2023-01-13
22,100,91,0,1673649082,0.0,9,0,0,,WTIW-23JAN20-B79.5,between,79.99,79.0,,$79 to 79.99,finalized,2023-01-13 22:31:22,2023-01-13
23,97,91,0,1673649082,0.0,9,3,0,,WTIW-23JAN20-B79.5,between,79.99,79.0,,$79 to 79.99,finalized,2023-01-13 22:31:22,2023-01-13
24,96,91,0,1673649082,0.0,9,4,0,,WTIW-23JAN20-B79.5,between,79.99,79.0,,$79 to 79.99,finalized,2023-01-13 22:31:22,2023-01-13
25,95,91,0,1673649082,0.0,9,5,0,,WTIW-23JAN20-B79.5,between,79.99,79.0,,$79 to 79.99,finalized,2023-01-13 22:31:22,2023-01-13
26,95,0,0,1673649082,0.0,100,5,0,,WTIW-23JAN20-B80.5,between,80.99,80.0,,$80 to 80.99,finalized,2023-01-13 22:31:22,2023-01-13
27,95,91,0,1673649082,0.0,9,5,0,,WTIW-23JAN20-B80.5,between,80.99,80.0,,$80 to 80.99,finalized,2023-01-13 22:31:22,2023-01-13
28,97,0,0,1673649082,0.0,100,3,0,,WTIW-23JAN20-B81.5,between,81.99,81.0,,$81 to 81.99,finalized,2023-01-13 22:31:22,2023-01-13
29,97,89,0,1673649082,0.0,11,3,0,,WTIW-23JAN20-B81.5,between,81.99,81.0,,$81 to 81.99,finalized,2023-01-13 22:31:22,2023-01-13
30,97,91,0,1673649082,0.0,9,3,0,,WTIW-23JAN20-B81.5,between,81.99,81.0,,$81 to 81.99,finalized,2023-01-13 22:31:22,2023-01-13
31,95,91,0,1673649082,0.0,9,5,0,,WTIW-23JAN20-B81.5,between,81.99,81.0,,$81 to 81.99,finalized,2023-01-13 22:31:22,2023-01-13
32,100,90,0,1673649082,0.0,10,0,0,,WTIW-23JAN20-B82.5,between,82.99,82.0,,$82 to 82.99,finalized,2023-01-13 22:31:22,2023-01-13
33,97,90,0,1673649082,0.0,10,3,0,,WTIW-23JAN20-B82.5,between,82.99,82.0,,$82 to 82.99,finalized,2023-01-13 22:31:22,2023-01-13
34,96,90,0,1673649082,0.0,10,4,0,,WTIW-23JAN20-B82.5,between,82.99,82.0,,$82 to 82.99,finalized,2023-01-13 22:31:22,2023-01-13
35,96,91,0,1673649082,0.0,9,4,0,,WTIW-23JAN20-B82.5,between,82.99,82.0,,$82 to 82.99,finalized,2023-01-13 22:31:22,2023-01-13
36,96,92,0,1673649082,0.0,8,4,0,,WTIW-23JAN20-B82.5,between,82.99,82.0,,$82 to 82.99,finalized,2023-01-13 22:31:22,2023-01-13
37,95,92,0,1673649082,0.0,8,5,0,,WTIW-23JAN20-B82.5,between,82.99,82.0,,$82 to 82.99,finalized,2023-01-13 22:31:22,2023-01-13
38,100,92,0,1673649082,0.0,8,0,0,,WTIW-23JAN20-B83.5,between,83.99,83.0,,$83 to 83.99,finalized,2023-01-13 22:31:22,2023-01-13
39,97,92,0,1673649082,0.0,8,3,0,,WTIW-23JAN20-B83.5,between,83.99,83.0,,$83 to 83.99,finalized,2023-01-13 22:31:22,2023-01-13
40,97,0,0,1673649082,0.0,100,3,0,,WTIW-23JAN20-B84.5,between,84.99,84.0,,$84 to 84.99,finalized,2023-01-13 22:31:22,2023-01-13
41,97,93,0,1673649082,0.0,7,3,0,,WTIW-23JAN20-B84.5,between,84.99,84.0,,$84 to 84.99,finalized,2023-01-13 22:31:22,2023-01-13
42,100,93,0,1673649082,0.0,7,0,0,,WTIW-23JAN20-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2023-01-13 22:31:22,2023-01-13
43,98,93,0,1673649082,0.0,7,2,0,,WTIW-23JAN20-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2023-01-13 22:31:22,2023-01-13
44,98,94,0,1673649082,0.0,6,2,0,,WTIW-23JAN20-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2023-01-13 22:31:22,2023-01-13
45,97,94,0,1673649082,0.0,6,3,0,,WTIW-23JAN20-B85.5,between,85.99,85.0,,$85 to 85.99,finalized,2023-01-13 22:31:22,2023-01-13
46,93,0,0,1673649082,0.0,100,7,0,,WTIW-23JAN20-T73,less,73.0,,,$72.99 or lower,finalized,2023-01-13 22:31:22,2023-01-13
47,93,85,0,1673649082,0.0,15,7,0,,WTIW-23JAN20-T73,less,73.0,,,$72.99 or lower,finalized,2023-01-13 22:31:22,2023-01-13
48,93,87,0,1673649082,0.0,13,7,0,,WTIW-23JAN20-T73,less,73.0,,,$72.99 or lower,finalized,2023-01-13 22:31:22,2023-01-13
49,92,87,0,1673649082,0.0,13,8,0,,WTIW-23JAN20-T73,less,73.0,,,$72.99 or lower,finalized,2023-01-13 22:31:22,2023-01-13
50,91,87,0,1673649082,0.0,13,9,0,,WTIW-23JAN20-T73,less,73.0,,,$72.99 or lower,finalized,2023-01-13 22:31:22,2023-01-13
51,100,77,0,1673649082,0.0,23,0,0,,WTIW-23JAN20-T85.99,greater,,85.99,,$86 or higher,finalized,2023-01-13 22:31:22,2023-01-13
52,88,77,0,1673649082,0.0,23,12,0,,WTIW-23JAN20-T85.99,greater,,85.99,,$86 or higher,finalized,2023-01-13 22:31:22,2023-01-13
53,88,79,0,1673649082,0.0,21,12,0,,WTIW-23JAN20-T85.99,greater,,85.99,,$86 or higher,finalized,2023-01-13 22:31:22,2023-01-13
54,87,79,0,1673649082,0.0,21,13,0,,WTIW-23JAN20-T85.99,greater,,85.99,,$86 or higher,finalized,2023-01-13 22:31:22,2023-01-13
55,86,79,0,1673649082,0.0,21,14,0,,WTIW-23JAN20-T85.99,greater,,85.99,,$86 or higher,finalized,2023-01-13 22:31:22,2023-01-13
56,86,81,0,1673649082,0.0,19,14,0,,WTIW-23JAN20-T85.99,greater,,85.99,,$86 or higher,finalized,2023-01-13 22:31:22,2023-01-13
57,97,94,0,1673649083,0.0,6,3,0,,WTIW-23JAN20-B75.5,between,75.99,75.0,,$75 to 75.99,finalized,2023-01-13 22:31:23,2023-01-13
58,97,93,0,1673649083,0.0,7,3,0,,WTIW-23JAN20-B76.5,between,76.99,76.0,,$76 to 76.99,finalized,2023-01-13 22:31:23,2023-01-13
59,96,92,0,1673649083,0.0,8,4,0,,WTIW-23JAN20-B83.5,between,83.99,83.0,,$83 to 83.99,finalized,2023-01-13 22:31:23,2023-01-13
60,96,93,0,1673649084,0.0,7,4,0,,WTIW-23JAN20-B76.5,between,76.99,76.0,,$76 to 76.99,finalized,2023-01-13 22:31:24,2023-01-13
61,95,91,0,1673649084,0.0,9,5,0,,WTIW-23JAN20-B78.5,between,78.99,78.0,,$78 to 78.99,finalized,2023-01-13 22:31:24,2023-01-13
62,98,95,4,1673649969,4.0,5,2,2,,WTIW-23JAN20-B73.5,between,73.99,73.0,,$73 to 73.99,finalized,2023-01-13 22:46:09,2023-01-13
63,97,94,4,1673649977,4.0,6,3,3,,WTIW-23JAN20-B75.5,between,75.99,75.0,,$75 to 75.99,finalized,2023-01-13 22:46:17,2023-01-13
64,96,93,4,1673649990,4.0,7,4,4,,WTIW-23JAN20-B76.5,between,76.99,76.0,,$76 to 76.99,finalized,2023-01-13 22:46:30,2023-01-13
