,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,95,0,1683927458,0.0,5,0,0,,WTIW-23MAY19-B66.5,between,66.989999,66.0,,$66 to 66.99,active,2023-05-12 21:37:38,2023-05-12
1,100,1,0,1683930667,0.0,99,0,0,,WTIW-23MAY19-B64.5,between,64.989999,64.0,,$64 to 64.99,active,2023-05-12 22:31:07,2023-05-12
2,100,0,0,1683930667,0.0,100,0,0,,WTIW-23MAY19-B64.5,between,64.989999,64.0,,$64 to 64.99,active,2023-05-12 22:31:07,2023-05-12
3,100,1,0,1683930667,0.0,99,0,0,,WTIW-23MAY19-B64.5,between,64.989999,64.0,,$64 to 64.99,active,2023-05-12 22:31:07,2023-05-12
4,97,0,0,1683930667,0.0,100,3,0,,WTIW-23MAY19-B65.5,between,65.989999,65.0,,$65 to 65.99,active,2023-05-12 22:31:07,2023-05-12
5,97,94,0,1683930667,0.0,6,3,0,,WTIW-23MAY19-B65.5,between,65.989999,65.0,,$65 to 65.99,active,2023-05-12 22:31:07,2023-05-12
6,96,95,0,1683930667,0.0,5,4,0,,WTIW-23MAY19-B66.5,between,66.989999,66.0,,$66 to 66.99,active,2023-05-12 22:31:07,2023-05-12
7,95,0,13,1683930667,13.0,100,5,5,,WTIW-23MAY19-B66.5,between,66.989999,66.0,,$66 to 66.99,active,2023-05-12 22:31:07,2023-05-12
8,95,90,13,1683930667,0.0,10,5,5,,WTIW-23MAY19-B66.5,between,66.989999,66.0,,$66 to 66.99,active,2023-05-12 22:31:07,2023-05-12
9,95,92,13,1683930667,0.0,8,5,5,,WTIW-23MAY19-B66.5,between,66.989999,66.0,,$66 to 66.99,active,2023-05-12 22:31:07,2023-05-12
10,100,1,0,1683930667,0.0,99,0,0,,WTIW-23MAY19-B67.5,between,67.99,67.0,,$67 to 67.99,active,2023-05-12 22:31:07,2023-05-12
11,100,0,0,1683930667,0.0,100,0,0,,WTIW-23MAY19-B67.5,between,67.99,67.0,,$67 to 67.99,active,2023-05-12 22:31:07,2023-05-12
12,100,1,0,1683930667,0.0,99,0,0,,WTIW-23MAY19-B67.5,between,67.99,67.0,,$67 to 67.99,active,2023-05-12 22:31:07,2023-05-12
13,95,1,0,1683930667,0.0,99,5,0,,WTIW-23MAY19-B67.5,between,67.99,67.0,,$67 to 67.99,active,2023-05-12 22:31:07,2023-05-12
14,94,1,0,1683930667,0.0,99,6,0,,WTIW-23MAY19-B67.5,between,67.99,67.0,,$67 to 67.99,active,2023-05-12 22:31:07,2023-05-12
