,Unnamed: 0,category,event_ticker,mutually_exclusive,series_ticker,strike_date,strike_period,sub_title,title,discriminator,volume
0,10,Economics,FED-22SEP,False,FED,,,September 2022 meeting,How will the **Fed set interest rates** in September?,,82323640.0
1,8,Economics,FED-22DEC,False,FED,,,December 2022 meeting,What will the **federal funds rate** be at the end of 2022?,,73574333.0
2,14,Economics,FED-22MAR,False,FED,,,March 2022 meeting,How will the **Fed set interest rates** in March?,,50536727.0
3,11,Economics,FED-22JUL,False,FED,,,July 2022 meeting,How will the **Fed set interest rates** in July?,,39452618.0
4,13,Economics,FED-22MAY,False,FED,,,May 2022 meeting,How will the **Fed set interest rates** in May?,,31081808.0
5,6,Economics,FED-23MAR,False,FED,2023-03-22T12:00:00Z,,March 2023 meeting,How much will the Federal Reserve increase interest rates?,,29246435.0
6,12,Economics,FED-22JUN,False,FED,,,June 2022 meeting,How will the **Fed set interest rates** in June?,,25323438.0
7,9,Economics,FED-22NOV,False,FED,,,November 2022 meeting,How will the **Fed set interest rates** in November?,,23120833.0
8,19,Economics,CPI-22APR,False,CPI,,,In April 2022,What will **CPI inflation** be in April?,,19925202.0
9,1,Economics,ACPI-22,True,ACPI,,2022,In 2022,What will **inflation** be in 2022?,,17865976.0
10,1,Financials,INXY-22DEC30,True,INXY,2022-12-30T12:00:00Z,,"On December 30, 2022","What will the value of the S&P 500 be at the end of December 30, 2022",,16466289.0
11,16,Economics,CPI-22JUL,False,CPI,,,In July 2022,What will **CPI inflation** be in July?,,16239129.0
12,39,Financials,INXW-22AUG05,True,INXW,,,"On August 05, 2022","What will the value of the S&P 500 be at the end of August 05, 2022",,14396270.0
13,33,Financials,INXW-22SEP16,True,INXW,,,"On September 16, 2022","What will the value of the S&P 500 be at the end of September 16, 2022",,13839463.0
14,0,Financials,INXY-23DEC29,True,INXY,2023-12-29T12:00:00Z,,"On Dec 29, 2023","What will the value of the S&P 500 be at the end of Dec 29, 2023",,13561319.0
15,5,Economics,FED-23MAY,False,FED,2023-05-03T12:00:00Z,,May 2023 meeting,How much will the Federal Reserve increase interest rates?,,13316444.0
16,17,Economics,CPI-22JUN,False,CPI,,,In June 2022,What will **CPI inflation** be in June?,,12906516.0
17,44,Financials,INXW-22JUL01,True,INXW,,,"On July 01, 2022","What will the value of the S&P 500 be at the end of July 01, 2022",,12421106.0
